threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,100,50,50,97,50,47,0,0.5154639175257731,1.0,0.94,0.0,18.86826,19.9235,-17.273780000000002,-18.2485
0.11,100,50,50,97,50,47,0,0.5154639175257731,1.0,0.94,0.0,18.86826,19.9235,-17.273780000000002,-18.2485
0.12,100,50,50,97,50,47,0,0.5154639175257731,1.0,0.94,0.0,18.668259999999997,19.9235,-17.073780000000003,-18.2485
0.13,100,50,50,97,50,47,0,0.5154639175257731,1.0,0.94,0.0,18.54826,19.9235,-16.953780000000002,-18.2485
0.14,100,50,50,97,50,47,0,0.5154639175257731,1.0,0.94,0.0,18.52826,19.9235,-16.933780000000002,-18.2485
0.15,100,50,50,97,50,47,0,0.5154639175257731,1.0,0.94,0.0,18.52826,19.9235,-16.933780000000002,-18.2485
0.16,100,50,50,97,50,47,0,0.5154639175257731,1.0,0.94,0.0,18.508259999999996,19.9235,-16.913780000000003,-18.2485
0.17,100,50,50,97,50,47,0,0.5154639175257731,1.0,0.94,0.0,18.448259999999998,19.908,-16.85378,-17.974
0.18,100,50,50,97,50,47,0,0.5154639175257731,1.0,0.94,0.0,18.448259999999998,19.908,-16.85378,-17.974
0.19,100,50,50,97,50,47,0,0.5154639175257731,1.0,0.94,0.0,18.448259999999998,19.908,-16.85378,-17.974
0.2,100,50,50,97,50,47,0,0.5154639175257731,1.0,0.94,0.0,18.448259999999998,19.908,-16.85378,-17.974
0.21,100,50,50,96,50,46,0,0.5208333333333334,1.0,0.92,0.0,18.448259999999998,19.908,-16.85378,-17.974
0.22,100,50,50,96,50,46,0,0.5208333333333334,1.0,0.92,0.0,18.168259999999997,19.908,-16.573780000000003,-17.974
0.23,100,50,50,96,50,46,0,0.5208333333333334,1.0,0.92,0.0,18.168259999999997,19.908,-16.573780000000003,-17.974
0.24,100,50,50,96,50,46,0,0.5208333333333334,1.0,0.92,0.0,18.148259999999997,19.7845,-16.553780000000003,-17.974
0.25,100,50,50,96,50,46,0,0.5208333333333334,1.0,0.92,0.0,18.148259999999997,19.7845,-16.553780000000003,-17.974
0.26,100,50,50,95,49,46,1,0.5157894736842106,0.98,0.92,0.02,18.49618367346939,19.902,-16.912020408163265,-18.233
0.27,100,50,50,95,49,46,1,0.5157894736842106,0.98,0.92,0.02,18.47577551020408,19.902,-16.89161224489796,-18.233
0.28,100,50,50,95,49,46,1,0.5157894736842106,0.98,0.92,0.02,18.455367346938775,19.902,-16.87120408163265,-17.715
0.29,100,50,50,95,49,46,1,0.5157894736842106,0.98,0.92,0.02,18.43495918367347,19.902,-16.850795918367346,-17.715
0.3,100,50,50,95,49,46,1,0.5157894736842106,0.98,0.92,0.02,18.292102040816328,19.902,-16.707938775510204,-17.715
0.31,100,50,50,95,49,46,1,0.5157894736842106,0.98,0.92,0.02,18.292102040816328,19.902,-16.707938775510204,-17.715
0.32,100,50,50,95,49,46,1,0.5157894736842106,0.98,0.92,0.02,18.2104693877551,19.902,-16.62630612244898,-17.7
0.33,100,50,50,94,49,45,1,0.5212765957446809,0.98,0.9,0.02,18.2104693877551,19.902,-16.62630612244898,-17.7
0.34,100,50,50,94,49,45,1,0.5212765957446809,0.98,0.9,0.02,18.2104693877551,19.902,-16.62630612244898,-17.7
0.35,100,50,50,94,49,45,1,0.5212765957446809,0.98,0.9,0.02,18.190061224489796,19.902,-16.60589795918367,-17.7
0.36,100,50,50,94,49,45,1,0.5212765957446809,0.98,0.9,0.02,18.190061224489796,19.902,-16.60589795918367,-17.7
0.37,100,50,50,94,49,45,1,0.5212765957446809,0.98,0.9,0.02,18.108428571428572,19.667,-16.524265306122448,-17.645
0.38,100,50,50,94,49,45,1,0.5212765957446809,0.98,0.9,0.02,18.108428571428572,19.667,-16.524265306122448,-17.645
