window_id,id,video_target,target,temporal_target,window_type,phase_name,phase_index,sample_weight,timestamp,window_start_timestamp,window_end_timestamp,center_timestamp,sequence_length,frame_count,frame_paths,timestamps,time_of_alert,time_of_event,seconds_to_alert,seconds_to_event,duration,video_path,split,source_peak_timestamp,source_peak_risk_score,source_peak_prob_class_2,source_peak_prob_class_3,ablation_variant,source_window_id,selection_rank
01785_context_hard_negative_001_025_500_top1000_w20,01785,0,0,0,contextual_hard_negative,contextual_hard_negative,0,2.0,25.5,22.0,25.5,23.75,8,8,"[""data\\interim\\product_temporal_frames_224\\01785\\t_022_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_022_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_023_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_023_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_024_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_024_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_025_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_025_500.jpg""]","[22.0, 22.5, 23.0, 23.5, 24.0, 24.5, 25.0, 25.5]",,,,,38.986,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01785.mp4,train,26.5,0.8660427927970886,0.2555209398269653,0.6105218529701233,top1000_w20,01785_context_hard_negative_001_025_500,1
01785_context_hard_negative_002_026_000_top1000_w20,01785,0,0,0,contextual_hard_negative,contextual_hard_negative,0,2.0,26.0,22.5,26.0,24.25,8,8,"[""data\\interim\\product_temporal_frames_224\\01785\\t_022_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_023_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_023_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_024_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_024_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_025_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_025_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_026_000.jpg""]","[22.5, 23.0, 23.5, 24.0, 24.5, 25.0, 25.5, 26.0]",,,,,38.986,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01785.mp4,train,26.5,0.8660427927970886,0.2555209398269653,0.6105218529701233,top1000_w20,01785_context_hard_negative_002_026_000,2
01785_context_hard_negative_003_026_500_top1000_w20,01785,0,0,0,contextual_hard_negative,contextual_hard_negative,0,2.0,26.5,23.0,26.5,24.75,8,8,"[""data\\interim\\product_temporal_frames_224\\01785\\t_023_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_023_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_024_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_024_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_025_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_025_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_026_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_026_500.jpg""]","[23.0, 23.5, 24.0, 24.5, 25.0, 25.5, 26.0, 26.5]",,,,,38.986,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01785.mp4,train,26.5,0.8660427927970886,0.2555209398269653,0.6105218529701233,top1000_w20,01785_context_hard_negative_003_026_500,3
01785_context_hard_negative_004_027_000_top1000_w20,01785,0,0,0,contextual_hard_negative,contextual_hard_negative,0,2.0,27.0,23.5,27.0,25.25,8,8,"[""data\\interim\\product_temporal_frames_224\\01785\\t_023_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_024_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_024_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_025_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_025_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_026_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_026_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_027_000.jpg""]","[23.5, 24.0, 24.5, 25.0, 25.5, 26.0, 26.5, 27.0]",,,,,38.986,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01785.mp4,train,26.5,0.8660427927970886,0.2555209398269653,0.6105218529701233,top1000_w20,01785_context_hard_negative_004_027_000,4
01785_context_hard_negative_005_027_500_top1000_w20,01785,0,0,0,contextual_hard_negative,contextual_hard_negative,0,2.0,27.5,24.0,27.5,25.75,8,8,"[""data\\interim\\product_temporal_frames_224\\01785\\t_024_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_024_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_025_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_025_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_026_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_026_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_027_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01785\\t_027_500.jpg""]","[24.0, 24.5, 25.0, 25.5, 26.0, 26.5, 27.0, 27.5]",,,,,38.986,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01785.mp4,train,26.5,0.8660427927970886,0.2555209398269653,0.6105218529701233,top1000_w20,01785_context_hard_negative_005_027_500,5
01052_context_hard_negative_001_001_500_top1000_w20,01052,0,0,0,contextual_hard_negative,contextual_hard_negative,0,2.0,1.5,0.0,1.5,0.75,8,8,"[""data\\interim\\product_temporal_frames_224\\01052\\t_000_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_000_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_000_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_000_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_000_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_000_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_001_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_001_500.jpg""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 1.0, 1.5]",,,,,39.4,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01052.mp4,train,2.5,0.8468785881996155,0.2155936509370803,0.6312849521636963,top1000_w20,01052_context_hard_negative_001_001_500,6
01052_context_hard_negative_002_002_000_top1000_w20,01052,0,0,0,contextual_hard_negative,contextual_hard_negative,0,2.0,2.0,0.0,2.0,1.0,8,8,"[""data\\interim\\product_temporal_frames_224\\01052\\t_000_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_000_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_000_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_000_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_000_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_001_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_001_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_002_000.jpg""]","[0.0, 0.0, 0.0, 0.0, 0.5, 1.0, 1.5, 2.0]",,,,,39.4,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01052.mp4,train,2.5,0.8468785881996155,0.2155936509370803,0.6312849521636963,top1000_w20,01052_context_hard_negative_002_002_000,7
01052_context_hard_negative_003_002_500_top1000_w20,01052,0,0,0,contextual_hard_negative,contextual_hard_negative,0,2.0,2.5,0.0,2.5,1.25,8,8,"[""data\\interim\\product_temporal_frames_224\\01052\\t_000_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_000_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_000_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_000_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_001_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_001_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_002_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_002_500.jpg""]","[0.0, 0.0, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5]",,,,,39.4,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01052.mp4,train,2.5,0.8468785881996155,0.2155936509370803,0.6312849521636963,top1000_w20,01052_context_hard_negative_003_002_500,8
01052_context_hard_negative_004_003_000_top1000_w20,01052,0,0,0,contextual_hard_negative,contextual_hard_negative,0,2.0,3.0,0.0,3.0,1.5,8,8,"[""data\\interim\\product_temporal_frames_224\\01052\\t_000_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_000_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_000_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_001_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_001_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_002_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_002_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_003_000.jpg""]","[0.0, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0]",,,,,39.4,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01052.mp4,train,2.5,0.8468785881996155,0.2155936509370803,0.6312849521636963,top1000_w20,01052_context_hard_negative_004_003_000,9
01052_context_hard_negative_005_003_500_top1000_w20,01052,0,0,0,contextual_hard_negative,contextual_hard_negative,0,2.0,3.5,0.0,3.5,1.75,8,8,"[""data\\interim\\product_temporal_frames_224\\01052\\t_000_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_000_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_001_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_001_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_002_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_002_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_003_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01052\\t_003_500.jpg""]","[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]",,,,,39.4,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01052.mp4,train,2.5,0.8468785881996155,0.2155936509370803,0.6312849521636963,top1000_w20,01052_context_hard_negative_005_003_500,10
