window_id,id,video_target,target,temporal_target,window_type,phase_name,phase_index,sample_weight,timestamp,window_start_timestamp,window_end_timestamp,center_timestamp,sequence_length,frame_count,frame_paths,timestamps,time_of_alert,time_of_event,seconds_to_alert,seconds_to_event,duration,video_path,split,source_peak_timestamp,source_peak_risk_score,source_peak_prob_class_2,source_peak_prob_class_3
01040_context_hard_negative_001_027_000,01040,0,0,0,contextual_hard_negative,contextual_hard_negative,0,2.5,27.0,23.5,27.0,25.25,8,8,"[""data\\interim\\product_temporal_frames_224\\01040\\t_023_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_024_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_024_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_025_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_025_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_026_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_026_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_027_000.jpg""]","[23.5, 24.0, 24.5, 25.0, 25.5, 26.0, 26.5, 27.0]",,,,,39.333,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01040.mp4,train,28.0,0.7291803359985352,0.2368588149547577,0.4923215508460998
01040_context_hard_negative_002_027_500,01040,0,0,0,contextual_hard_negative,contextual_hard_negative,0,2.5,27.5,24.0,27.5,25.75,8,8,"[""data\\interim\\product_temporal_frames_224\\01040\\t_024_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_024_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_025_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_025_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_026_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_026_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_027_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_027_500.jpg""]","[24.0, 24.5, 25.0, 25.5, 26.0, 26.5, 27.0, 27.5]",,,,,39.333,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01040.mp4,train,28.0,0.7291803359985352,0.2368588149547577,0.4923215508460998
01040_context_hard_negative_003_028_000,01040,0,0,0,contextual_hard_negative,contextual_hard_negative,0,2.5,28.0,24.5,28.0,26.25,8,8,"[""data\\interim\\product_temporal_frames_224\\01040\\t_024_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_025_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_025_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_026_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_026_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_027_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_027_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_028_000.jpg""]","[24.5, 25.0, 25.5, 26.0, 26.5, 27.0, 27.5, 28.0]",,,,,39.333,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01040.mp4,train,28.0,0.7291803359985352,0.2368588149547577,0.4923215508460998
01040_context_hard_negative_004_028_500,01040,0,0,0,contextual_hard_negative,contextual_hard_negative,0,2.5,28.5,25.0,28.5,26.75,8,8,"[""data\\interim\\product_temporal_frames_224\\01040\\t_025_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_025_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_026_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_026_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_027_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_027_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_028_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_028_500.jpg""]","[25.0, 25.5, 26.0, 26.5, 27.0, 27.5, 28.0, 28.5]",,,,,39.333,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01040.mp4,train,28.0,0.7291803359985352,0.2368588149547577,0.4923215508460998
01040_context_hard_negative_005_029_000,01040,0,0,0,contextual_hard_negative,contextual_hard_negative,0,2.5,29.0,25.5,29.0,27.25,8,8,"[""data\\interim\\product_temporal_frames_224\\01040\\t_025_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_026_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_026_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_027_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_027_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_028_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_028_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_029_000.jpg""]","[25.5, 26.0, 26.5, 27.0, 27.5, 28.0, 28.5, 29.0]",,,,,39.333,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01040.mp4,train,28.0,0.7291803359985352,0.2368588149547577,0.4923215508460998
01040_context_hard_negative_006_037_500,01040,0,0,0,contextual_hard_negative,contextual_hard_negative,0,2.5,37.5,34.0,37.5,35.75,8,8,"[""data\\interim\\product_temporal_frames_224\\01040\\t_034_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_034_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_035_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_035_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_036_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_036_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_037_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_037_500.jpg""]","[34.0, 34.5, 35.0, 35.5, 36.0, 36.5, 37.0, 37.5]",,,,,39.333,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01040.mp4,train,38.5,0.7291649580001831,0.2163320779800415,0.5128328800201416
01040_context_hard_negative_007_038_000,01040,0,0,0,contextual_hard_negative,contextual_hard_negative,0,2.5,38.0,34.5,38.0,36.25,8,8,"[""data\\interim\\product_temporal_frames_224\\01040\\t_034_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_035_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_035_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_036_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_036_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_037_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_037_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_038_000.jpg""]","[34.5, 35.0, 35.5, 36.0, 36.5, 37.0, 37.5, 38.0]",,,,,39.333,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01040.mp4,train,38.5,0.7291649580001831,0.2163320779800415,0.5128328800201416
01040_context_hard_negative_008_038_500,01040,0,0,0,contextual_hard_negative,contextual_hard_negative,0,2.5,38.5,35.0,38.5,36.75,8,8,"[""data\\interim\\product_temporal_frames_224\\01040\\t_035_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_035_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_036_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_036_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_037_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_037_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_038_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_038_500.jpg""]","[35.0, 35.5, 36.0, 36.5, 37.0, 37.5, 38.0, 38.5]",,,,,39.333,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01040.mp4,train,38.5,0.7291649580001831,0.2163320779800415,0.5128328800201416
01040_context_hard_negative_009_039_000,01040,0,0,0,contextual_hard_negative,contextual_hard_negative,0,2.5,39.0,35.5,39.0,37.25,8,8,"[""data\\interim\\product_temporal_frames_224\\01040\\t_035_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_036_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_036_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_037_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_037_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_038_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_038_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_039_000.jpg""]","[35.5, 36.0, 36.5, 37.0, 37.5, 38.0, 38.5, 39.0]",,,,,39.333,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01040.mp4,train,38.5,0.7291649580001831,0.2163320779800415,0.5128328800201416
01040_context_hard_negative_010_030_000,01040,0,0,0,contextual_hard_negative,contextual_hard_negative,0,2.5,30.0,26.5,30.0,28.25,8,8,"[""data\\interim\\product_temporal_frames_224\\01040\\t_026_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_027_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_027_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_028_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_028_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_029_000.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_029_500.jpg"", ""data\\interim\\product_temporal_frames_224\\01040\\t_030_000.jpg""]","[26.5, 27.0, 27.5, 28.0, 28.5, 29.0, 29.5, 30.0]",,,,,39.333,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01040.mp4,train,31.0,0.7218475937843323,0.2222493588924408,0.4995982348918915
