threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.11,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.12,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.13,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.14,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.15,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.16,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.17,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.18,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.19,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.2,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.21,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.22,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.23,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.24,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.25,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.26,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.27,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.28,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.29,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.3,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.31,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.62888392857143,19.802500000000002,-16.96875,-18.200000000000003
0.32,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.62888392857143,19.802500000000002,-16.96875,-18.200000000000003
0.33,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.619955357142857,19.7915,-16.959821428571427,-18.200000000000003
0.34,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.5128125,19.7915,-16.852678571428573,-18.1535
0.35,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.486026785714284,19.783,-16.825892857142858,-18.136499999999998
0.36,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.4190625,19.725,-16.758928571428573,-18.116500000000002
0.37,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.55887387387387,19.783,-16.89128828828829,-18.1
0.38,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.513828828828828,19.783,-16.846243243243244,-18.1
0.39,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.46427927927928,19.783,-16.796693693693694,-18.1
0.4,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.37869369369369,19.667,-16.71110810810811,-18.1
0.41,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.29761261261261,19.667,-16.63002702702703,-17.942
0.42,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.180495495495492,19.6,-16.51290990990991,-17.873
0.43,224,112,112,219,110,107,2,0.5069124423963134,0.9821428571428571,0.9553571428571429,0.017857142857142856,18.135236363636363,19.552500000000002,-16.46975454545455,-17.7635
0.44,224,112,112,217,110,105,2,0.5116279069767442,0.9821428571428571,0.9375,0.017857142857142856,17.780690909090907,19.5265,-16.115209090909094,-17.7135
0.45,224,112,112,214,108,102,4,0.5142857142857142,0.9642857142857143,0.9107142857142857,0.03571428571428571,17.546703703703702,19.507,-15.87137037037037,-17.6685
0.46,224,112,112,210,107,100,5,0.5169082125603864,0.9553571428571429,0.8928571428571429,0.044642857142857144,17.310691588785048,19.43,-15.634028037383176,-17.433
0.47,224,112,112,209,102,99,10,0.5074626865671642,0.9107142857142857,0.8839285714285714,0.08928571428571429,17.181009803921565,19.3985,-15.48838235294118,-17.4895
0.48,224,112,112,197,97,93,15,0.5105263157894737,0.8660714285714286,0.8303571428571429,0.13392857142857142,17.099690721649488,19.367,-15.373432989690722,-17.4
0.49,224,112,112,191,93,90,19,0.5081967213114754,0.8303571428571429,0.8035714285714286,0.16964285714285715,17.22111827956989,19.367,-15.509548387096778,-17.4
0.5,224,112,112,181,91,83,21,0.5229885057471264,0.8125,0.7410714285714286,0.1875,16.41153846153846,19.25,-14.68854945054945,-17.281
0.51,224,112,112,171,89,76,23,0.5393939393939394,0.7946428571428571,0.6785714285714286,0.20535714285714285,15.691955056179776,19.15,-13.956078651685392,-16.968
0.52,224,112,112,159,85,67,27,0.5592105263157895,0.7589285714285714,0.5982142857142857,0.24107142857142858,15.891329411764703,19.107,-14.117270588235295,-16.929
0.53,224,112,112,142,77,53,35,0.5923076923076923,0.6875,0.4732142857142857,0.3125,16.131597402597404,18.206,-14.297441558441562,-16.433
0.54,224,112,112,126,71,43,41,0.6228070175438597,0.6339285714285714,0.38392857142857145,0.36607142857142855,14.619408450704222,17.2,-12.790830985915493,-14.299
0.55,224,112,112,107,68,31,44,0.6868686868686869,0.6071428571428571,0.2767857142857143,0.39285714285714285,13.871544117647058,16.4665,-12.006911764705885,-14.0915
0.56,224,112,112,102,61,28,51,0.6853932584269663,0.5446428571428571,0.25,0.45535714285714285,13.606540983606557,15.733,-11.741442622950823,-13.483
0.57,224,112,112,89,57,23,55,0.7125,0.5089285714285714,0.20535714285714285,0.49107142857142855,12.929929824561404,14.367,-11.07743859649123,-12.983
0.58,224,112,112,75,49,17,63,0.7424242424242424,0.4375,0.15178571428571427,0.5625,12.201102040816325,13.899999999999999,-10.280897959183674,-10.842
0.59,224,112,112,65,41,13,71,0.7592592592592593,0.36607142857142855,0.11607142857142858,0.6339285714285714,10.838195121951221,11.433,-8.98868292682927,-9.870999999999999
0.6,224,112,112,51,32,9,80,0.7804878048780488,0.2857142857142857,0.08035714285714286,0.7142857142857143,11.081125,12.292000000000002,-9.2095,-10.6165
0.61,224,112,112,36,23,6,89,0.7931034482758621,0.20535714285714285,0.05357142857142857,0.7946428571428571,10.755478260869566,9.545000000000002,-8.853913043478263,-8.167000000000002
