threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.11,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.12,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.13,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.14,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.15,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.16,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.17,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.18,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.19,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.2,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.21,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.22,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.23,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.24,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.25,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.26,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.27,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.62888392857143,19.7915,-16.96875,-18.200000000000003
0.28,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.62441964285714,19.7915,-16.964285714285715,-18.200000000000003
0.29,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.62441964285714,19.7915,-16.964285714285715,-18.200000000000003
0.3,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.6065625,19.783,-16.946428571428573,-18.1535
0.31,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.59316964285714,19.725,-16.933035714285715,-18.136499999999998
0.32,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.43691964285714,19.725,-16.776785714285715,-18.116500000000002
0.33,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.423526785714284,19.725,-16.763392857142858,-18.05
0.34,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.396741071428572,19.725,-16.736607142857142,-18.05
0.35,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.369955357142857,19.725,-16.709821428571427,-18.05
0.36,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.365491071428572,19.725,-16.705357142857142,-18.05
0.37,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.361026785714284,19.725,-16.700892857142858,-18.05
0.38,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.322306306306302,19.783,-16.66432432432433,-18.0
0.39,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.3178018018018,19.783,-16.659819819819823,-18.0
0.4,224,112,112,223,111,111,1,0.5,0.9910714285714286,0.9910714285714286,0.008928571428571428,18.313297297297293,19.783,-16.65531531531532,-18.0
0.41,224,112,112,223,111,111,1,0.5,0.9910714285714286,0.9910714285714286,0.008928571428571428,18.245729729729725,19.667,-16.587747747747752,-17.942
0.42,224,112,112,223,111,111,1,0.5,0.9910714285714286,0.9910714285714286,0.008928571428571428,18.17816216216216,19.667,-16.520180180180184,-17.942
0.43,224,112,112,223,111,111,1,0.5,0.9910714285714286,0.9910714285714286,0.008928571428571428,18.16915315315315,19.667,-16.511171171171174,-17.942
0.44,224,112,112,222,110,110,2,0.5,0.9821428571428571,0.9821428571428571,0.017857142857142856,18.307963636363635,19.667,-16.64248181818182,-17.971
0.45,224,112,112,221,110,110,2,0.5,0.9821428571428571,0.9821428571428571,0.017857142857142856,18.2216,19.667,-16.556118181818185,-17.921
0.46,224,112,112,220,110,109,2,0.502283105022831,0.9821428571428571,0.9732142857142857,0.017857142857142856,18.19432727272727,19.667,-16.528845454545458,-17.921
0.47,224,112,112,219,110,108,2,0.5045871559633027,0.9821428571428571,0.9642857142857143,0.017857142857142856,18.06250909090909,19.667,-16.397027272727275,-17.85
0.48,224,112,112,218,110,107,2,0.5069124423963134,0.9821428571428571,0.9553571428571429,0.017857142857142856,17.907963636363633,19.667,-16.24248181818182,-17.85
0.49,224,112,112,218,110,107,2,0.5069124423963134,0.9821428571428571,0.9553571428571429,0.017857142857142856,17.871599999999997,19.575,-16.206118181818184,-17.8005
0.5,224,112,112,217,110,106,2,0.5092592592592593,0.9821428571428571,0.9464285714285714,0.017857142857142856,17.748872727272726,19.533,-16.083390909090912,-17.8
0.51,224,112,112,217,108,106,4,0.5046728971962616,0.9642857142857143,0.9464285714285714,0.03571428571428571,17.751388888888886,19.552500000000002,-16.07111111111111,-17.7635
0.52,224,112,112,215,108,104,4,0.5094339622641509,0.9642857142857143,0.9285714285714286,0.03571428571428571,17.543055555555554,19.552500000000002,-15.862777777777778,-17.7135
0.53,224,112,112,213,107,102,5,0.5119617224880383,0.9553571428571429,0.9107142857142857,0.044642857142857144,17.62477570093458,19.533,-15.947177570093457,-17.637
0.54,224,112,112,211,106,101,6,0.5120772946859904,0.9464285714285714,0.9017857142857143,0.05357142857142857,17.41054716981132,19.500500000000002,-15.734103773584906,-17.6055
0.55,224,112,112,207,105,98,7,0.5172413793103449,0.9375,0.875,0.0625,17.277666666666665,19.433,-15.58875238095238,-17.433
0.56,224,112,112,201,102,94,10,0.5204081632653061,0.9107142857142857,0.8392857142857143,0.08928571428571429,17.1763431372549,19.275,-15.453029411764708,-17.233
0.57,224,112,112,199,102,93,10,0.5230769230769231,0.9107142857142857,0.8303571428571429,0.08928571428571429,16.5685,19.191499999999998,-14.845186274509807,-16.9875
0.58,224,112,112,194,99,91,13,0.5210526315789473,0.8839285714285714,0.8125,0.11607142857142858,16.57070707070707,19.133,-14.85039393939394,-16.975
0.59,224,112,112,189,96,87,16,0.5245901639344263,0.8571428571428571,0.7767857142857143,0.14285714285714285,15.714229166666668,19.0335,-13.97396875,-16.759
0.6,224,112,112,182,94,80,18,0.5402298850574713,0.8392857142857143,0.7142857142857143,0.16071428571428573,15.143180851063828,18.2665,-13.407287234042556,-16.4945
0.61,224,112,112,170,91,71,21,0.5617283950617284,0.8125,0.6339285714285714,0.1875,14.866142857142856,18.177,-13.125098901098902,-16.433
0.62,224,112,112,158,85,64,27,0.5704697986577181,0.7589285714285714,0.5714285714285714,0.24107142857142858,15.041482352941175,17.9,-13.255235294117648,-16.493
