threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.11,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.12,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.13,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.12888392857143,19.2915,-16.46875,-17.667
0.14,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.12888392857143,19.2915,-16.46875,-17.667
0.15,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.12441964285714,19.2915,-16.464285714285715,-17.6535
0.16,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.12441964285714,19.2915,-16.464285714285715,-17.6535
0.17,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.119955357142857,19.283,-16.459821428571427,-17.636499999999998
0.18,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.079776785714284,19.167,-16.419642857142858,-17.573
0.19,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.026205357142857,19.167,-16.366071428571427,-17.55
0.2,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,17.87888392857143,19.167,-16.21875,-17.55
0.21,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,17.767276785714284,19.119500000000002,-16.107142857142858,-17.455
0.22,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,17.829495495495493,19.167,-16.164603603603606,-17.468
0.23,224,112,112,223,111,111,1,0.5,0.9910714285714286,0.9910714285714286,0.008928571428571428,17.779945945945943,19.167,-16.115054054054056,-17.442
0.24,224,112,112,221,109,110,3,0.4977168949771689,0.9732142857142857,0.9821428571428571,0.026785714285714284,17.974366972477064,19.167,-16.305036697247708,-17.4
