threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.11,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.12,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.13,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.12888392857143,19.2915,-16.46875,-17.667
0.14,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.12441964285714,19.2915,-16.464285714285715,-17.6535
0.15,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.12441964285714,19.2915,-16.464285714285715,-17.6535
0.16,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.12441964285714,19.2915,-16.464285714285715,-17.6535
0.17,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.119955357142857,19.283,-16.459821428571427,-17.636499999999998
0.18,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.084241071428572,19.188000000000002,-16.424107142857142,-17.616500000000002
0.19,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.056090090090088,19.167,-16.38953153153153,-17.5
0.2,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.015549549549547,19.167,-16.34899099099099,-17.5
0.21,224,112,112,224,110,112,2,0.4954954954954955,0.9821428571428571,1.0,0.017857142857142856,18.064245454545453,19.167,-16.399800000000003,-17.484
0.22,224,112,112,224,109,112,3,0.49321266968325794,0.9732142857142857,1.0,0.026785714285714284,18.116568807339448,19.167,-16.447238532110095,-17.5
0.23,224,112,112,223,109,111,3,0.4954545454545455,0.9732142857142857,0.9910714285714286,0.026785714285714284,18.034,19.167,-16.364669724770643,-17.468
