threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.11,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.12,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.13,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.62888392857143,19.7915,-16.96875,-18.167
0.14,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.62888392857143,19.7915,-16.96875,-18.167
0.15,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.62441964285714,19.7915,-16.964285714285715,-18.1535
0.16,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.62441964285714,19.7915,-16.964285714285715,-18.1535
0.17,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.619955357142857,19.783,-16.959821428571427,-18.136499999999998
0.18,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.59316964285714,19.688000000000002,-16.933035714285715,-18.116500000000002
0.19,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.552991071428572,19.667,-16.892857142857142,-18.05
0.2,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.508348214285714,19.667,-16.848214285714285,-18.05
0.21,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.490491071428572,19.619500000000002,-16.830357142857142,-17.955
0.22,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.47263392857143,19.619500000000002,-16.8125,-17.955
0.23,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.42409009009009,19.667,-16.7591981981982,-17.942
0.24,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.279945945945943,19.667,-16.615054054054056,-17.867
0.25,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.20336936936937,19.667,-16.53847747747748,-17.867
0.26,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.06372972972973,19.572,-16.39883783783784,-17.8
0.27,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.0321981981982,19.533,-16.367306306306308,-17.8
0.28,224,112,112,223,111,111,1,0.5,0.9910714285714286,0.9910714285714286,0.008928571428571428,17.75742342342342,19.533,-16.092531531531534,-17.8
0.29,224,112,112,220,109,109,3,0.5,0.9732142857142857,0.9732142857142857,0.026785714285714284,17.915522935779816,19.533,-16.25603669724771,-17.767
0.3,224,112,112,219,107,109,5,0.49537037037037035,0.9553571428571429,0.9732142857142857,0.044642857142857144,17.936514018691586,19.467,-16.265626168224298,-17.667
0.31,224,112,112,213,107,104,5,0.5071090047393365,0.9553571428571429,0.9285714285714286,0.044642857142857144,17.782308411214952,19.367,-16.111420560747664,-17.637
0.32,224,112,112,211,107,102,5,0.5119617224880383,0.9553571428571429,0.9107142857142857,0.044642857142857144,17.58604672897196,19.364,-15.915158878504673,-17.633
0.33,224,112,112,208,106,100,6,0.5145631067961165,0.9464285714285714,0.8928571428571429,0.05357142857142857,17.518,19.241500000000002,-15.849905660377358,-17.4085
0.34,224,112,112,206,105,99,7,0.5147058823529411,0.9375,0.8839285714285714,0.0625,17.440419047619045,19.233,-15.76182857142857,-17.4
0.35,224,112,112,204,104,98,8,0.5148514851485149,0.9285714285714286,0.875,0.07142857142857142,17.003307692307693,19.073999999999998,-15.317548076923076,-17.213
0.36,224,112,112,199,103,94,9,0.5228426395939086,0.9196428571428571,0.8392857142857143,0.08035714285714286,16.756495145631064,19.0,-15.07118446601942,-16.785
0.37,224,112,112,195,103,90,9,0.533678756476684,0.9196428571428571,0.8035714285714286,0.08035714285714286,16.382708737864075,18.933,-14.697398058252428,-16.733
0.38,224,112,112,189,102,86,10,0.5425531914893617,0.9107142857142857,0.7678571428571429,0.08928571428571429,16.08842156862745,18.6585,-14.394754901960788,-16.700000000000003
0.39,224,112,112,187,101,84,11,0.5459459459459459,0.9017857142857143,0.75,0.09821428571428571,15.626148514851483,18.433,-13.952376237623765,-16.64
0.4,224,112,112,185,101,82,11,0.5519125683060109,0.9017857142857143,0.7321428571428571,0.09821428571428571,15.017237623762373,18.033,-13.343465346534654,-16.4
0.41,224,112,112,177,98,76,14,0.5632183908045977,0.875,0.6785714285714286,0.125,14.962397959183674,18.033,-13.267561224489794,-15.902000000000001
0.42,224,112,112,171,94,71,18,0.5696969696969697,0.8392857142857143,0.6339285714285714,0.16071428571428573,14.850765957446805,17.8335,-13.134010638297875,-15.390500000000001
0.43,224,112,112,165,93,66,19,0.5849056603773585,0.8303571428571429,0.5892857142857143,0.16964285714285715,13.851311827956987,16.767,-12.132580645161292,-14.992999999999999
0.44,224,112,112,161,89,64,23,0.5816993464052288,0.7946428571428571,0.5714285714285714,0.20535714285714285,13.551539325842699,15.933,-11.838426966292134,-14.8
0.45,224,112,112,154,82,61,30,0.5734265734265734,0.7321428571428571,0.5446428571428571,0.26785714285714285,13.07687804878049,15.558,-11.415804878048782,-14.3645
0.46,224,112,112,143,76,55,36,0.5801526717557252,0.6785714285714286,0.49107142857142855,0.32142857142857145,12.846855263157895,15.733,-11.163052631578948,-14.0615
0.47,224,112,112,132,70,47,42,0.5982905982905983,0.625,0.41964285714285715,0.375,12.122342857142856,13.552499999999998,-10.40662857142857,-11.911
0.48,224,112,112,124,65,47,47,0.5803571428571429,0.5803571428571429,0.41964285714285715,0.41964285714285715,12.294384615384613,13.835999999999999,-10.49466153846154,-12.823
0.49,224,112,112,113,59,40,53,0.5959595959595959,0.5267857142857143,0.35714285714285715,0.4732142857142857,11.989762711864406,13.835999999999999,-10.202661016949154,-12.823
0.5,224,112,112,100,50,35,62,0.5882352941176471,0.44642857142857145,0.3125,0.5535714285714286,11.85418,13.994499999999999,-10.06062,-12.802
0.51,224,112,112,90,48,29,64,0.6233766233766234,0.42857142857142855,0.25892857142857145,0.5714285714285714,11.189437500000002,13.098,-9.36175,-10.495999999999999
0.52,224,112,112,83,44,26,68,0.6285714285714286,0.39285714285714285,0.23214285714285715,0.6071428571428571,10.770750000000001,12.549,-9.011477272727273,-9.894499999999999
0.53,224,112,112,78,41,22,71,0.6507936507936508,0.36607142857142855,0.19642857142857142,0.6339285714285714,10.341658536585365,8.574000000000002,-8.634878048780488,-8.167000000000002
0.54,224,112,112,68,36,19,76,0.6545454545454545,0.32142857142857145,0.16964285714285715,0.6785714285714286,10.864361111111112,12.366999999999999,-9.105305555555553,-10.933
0.55,224,112,112,58,33,14,79,0.7021276595744681,0.29464285714285715,0.125,0.7053571428571429,10.856060606060606,13.045000000000002,-9.01990909090909,-10.733
0.56,224,112,112,50,25,11,87,0.6944444444444444,0.22321428571428573,0.09821428571428571,0.7767857142857143,11.683519999999998,13.045000000000002,-9.83516,-11.233
0.57,224,112,112,47,22,10,90,0.6875,0.19642857142857142,0.08928571428571429,0.8035714285714286,11.014590909090911,11.575,-9.230909090909092,-8.583
0.58,224,112,112,41,19,8,93,0.7037037037037037,0.16964285714285715,0.07142857142857142,0.8303571428571429,11.263157894736842,13.835999999999999,-9.513631578947368,-12.733
0.59,224,112,112,33,17,6,95,0.7391304347826086,0.15178571428571427,0.05357142857142857,0.8482142857142857,10.492647058823529,10.25,-8.652588235294118,-7.433
