threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.11,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.12,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.13,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.14,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.15,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.16,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.17,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.18,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.19,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.2,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.21,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.22,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.23,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.24,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.25,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.62888392857143,19.7915,-16.96875,-18.167
0.26,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.619955357142857,19.7915,-16.959821428571427,-18.167
0.27,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.611026785714284,19.7915,-16.950892857142858,-18.167
0.28,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.584241071428572,19.783,-16.924107142857142,-18.1535
0.29,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.517276785714284,19.725,-16.857142857142858,-18.116500000000002
0.3,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.392276785714284,19.725,-16.732142857142858,-18.116500000000002
0.31,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.352098214285714,19.725,-16.691964285714285,-18.116500000000002
0.32,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.329776785714284,19.725,-16.669642857142858,-18.05
0.33,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.164598214285714,19.667,-16.504464285714285,-17.984
0.34,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.28627027027027,19.667,-16.628288288288292,-18.0
0.35,224,112,112,224,109,112,3,0.49321266968325794,0.9732142857142857,1.0,0.026785714285714284,18.201376146788988,19.667,-16.523366972477067,-18.0
0.36,224,112,112,224,109,112,3,0.49321266968325794,0.9732142857142857,1.0,0.026785714285714284,18.059174311926604,19.572,-16.38116513761468,-17.968
0.37,224,112,112,224,109,112,3,0.49321266968325794,0.9732142857142857,1.0,0.026785714285714284,17.834403669724768,19.539,-16.156394495412847,-17.942
0.38,224,112,112,224,109,112,3,0.49321266968325794,0.9732142857142857,1.0,0.026785714285714284,17.692201834862384,19.533,-16.01419266055046,-17.942
0.39,224,112,112,221,109,110,3,0.4977168949771689,0.9732142857142857,0.9821428571428571,0.026785714285714284,17.5545871559633,19.533,-15.876577981651378,-17.9
0.4,224,112,112,217,108,107,4,0.5023255813953489,0.9642857142857143,0.9553571428571429,0.03571428571428571,17.558203703703704,19.5265,-15.869898148148149,-17.8335
0.41,224,112,112,214,106,105,6,0.5023696682464455,0.9464285714285714,0.9375,0.05357142857142857,17.599877358490566,19.5265,-15.906132075471698,-17.7665
0.42,224,112,112,211,105,103,7,0.5048076923076923,0.9375,0.9196428571428571,0.0625,17.6212,19.533,-15.92210476190476,-17.8
0.43,224,112,112,208,104,101,8,0.5073170731707317,0.9285714285714286,0.9017857142857143,0.07142857142857142,17.687663461538463,19.5265,-15.981336538461537,-17.7665
0.44,224,112,112,200,104,93,8,0.5279187817258884,0.9285714285714286,0.8303571428571429,0.07142857142857142,17.28381730769231,19.509999999999998,-15.577490384615384,-17.73
0.45,224,112,112,197,103,91,9,0.5309278350515464,0.9196428571428571,0.8125,0.08035714285714286,16.943854368932037,19.405,-15.235844660194177,-17.611
0.46,224,112,112,191,101,86,11,0.5401069518716578,0.9017857142857143,0.7678571428571429,0.09821428571428571,16.686287128712873,19.133,-14.988554455445545,-17.346
0.47,224,112,112,186,101,81,11,0.554945054945055,0.9017857142857143,0.7232142857142857,0.09821428571428571,16.220940594059407,19.02,-14.52320792079208,-16.968
0.48,224,112,112,181,100,77,12,0.5649717514124294,0.8928571428571429,0.6875,0.10714285714285714,16.04075,18.9,-14.354270000000001,-16.950499999999998
0.49,224,112,112,174,95,75,17,0.5588235294117647,0.8482142857142857,0.6696428571428571,0.15178571428571427,15.731189473684207,18.433,-14.028010526315793,-16.733
0.5,224,112,112,165,93,68,19,0.577639751552795,0.8303571428571429,0.6071428571428571,0.16964285714285715,15.034096774193548,18.367,-13.344451612903226,-16.733
0.51,224,112,112,156,90,62,22,0.5921052631578947,0.8035714285714286,0.5535714285714286,0.19642857142857142,14.426844444444443,17.585,-12.708077777777776,-15.7185
0.52,224,112,112,145,87,54,25,0.6170212765957447,0.7767857142857143,0.48214285714285715,0.22321428571428573,13.59655172413793,16.583,-11.892367816091953,-14.637
0.53,224,112,112,133,78,48,34,0.6190476190476191,0.6964285714285714,0.42857142857142855,0.30357142857142855,13.819371794871794,15.700000000000001,-12.054833333333335,-13.75
0.54,224,112,112,125,74,44,38,0.6271186440677966,0.6607142857142857,0.39285714285714285,0.3392857142857143,13.135689189189188,15.350000000000001,-11.392094594594594,-13.1
0.55,224,112,112,118,70,39,42,0.6422018348623854,0.625,0.3482142857142857,0.375,12.723742857142856,13.6035,-10.971442857142856,-12.3615
0.56,224,112,112,110,65,38,47,0.6310679611650486,0.5803571428571429,0.3392857142857143,0.41964285714285715,12.814292307692307,14.5,-11.052353846153848,-12.428999999999998
0.57,224,112,112,98,58,31,54,0.651685393258427,0.5178571428571429,0.2767857142857143,0.48214285714285715,13.195827586206896,13.8165,-11.4335,-12.3115
0.58,224,112,112,89,52,26,60,0.6666666666666666,0.4642857142857143,0.23214285714285715,0.5357142857142857,11.68675,12.2995,-9.86953846153846,-11.18
0.59,224,112,112,76,45,22,67,0.6716417910447762,0.4017857142857143,0.19642857142857142,0.5982142857142857,11.608666666666668,12.074000000000002,-9.723755555555556,-10.931000000000001
0.6,224,112,112,69,38,19,74,0.6666666666666666,0.3392857142857143,0.16964285714285715,0.6607142857142857,11.997868421052633,12.6035,-10.151868421052631,-11.1995
0.61,224,112,112,58,33,15,79,0.6875,0.29464285714285715,0.13392857142857142,0.7053571428571429,10.812030303030301,11.567,-9.03739393939394,-10.5
