threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,17.896741071428572,19.225,-16.236607142857142,-17.616500000000002
0.11,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,17.81638392857143,19.225,-16.15625,-17.616500000000002
0.12,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,17.802991071428572,19.225,-16.142857142857142,-17.616500000000002
0.13,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,17.7003125,19.225,-16.040178571428573,-17.616500000000002
0.14,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,17.695848214285714,19.225,-16.035714285714285,-17.616500000000002
0.15,224,112,112,222,112,110,0,0.5045045045045045,1.0,0.9821428571428571,0.0,17.69138392857143,19.167,-16.03125,-17.573
0.16,224,112,112,221,111,109,1,0.5045454545454545,0.9910714285714286,0.9732142857142857,0.008928571428571428,17.729810810810807,19.167,-16.056522522522524,-17.546
0.17,224,112,112,221,108,109,4,0.4976958525345622,0.9642857142857143,0.9732142857142857,0.03571428571428571,18.181379629629628,19.283,-16.49738888888889,-17.523
0.18,224,112,112,219,108,107,4,0.5023255813953489,0.9642857142857143,0.9553571428571429,0.03571428571428571,18.02860185185185,19.283,-16.34461111111111,-17.5165
0.19,224,112,112,218,108,106,4,0.5046728971962616,0.9642857142857143,0.9464285714285714,0.03571428571428571,17.861935185185185,19.283,-16.177944444444446,-17.455
0.2,224,112,112,216,108,105,4,0.5070422535211268,0.9642857142857143,0.9375,0.03571428571428571,17.79249074074074,19.283,-16.1085,-17.455
0.21,224,112,112,214,107,104,5,0.5071090047393365,0.9553571428571429,0.9285714285714286,0.044642857142857144,17.771177570093457,19.283,-16.099224299065423,-17.468
0.22,224,112,112,213,107,103,5,0.5095238095238095,0.9553571428571429,0.9196428571428571,0.044642857142857144,17.75248598130841,19.283,-16.080532710280377,-17.468
0.23,224,112,112,211,107,102,5,0.5119617224880383,0.9553571428571429,0.9107142857142857,0.044642857142857144,17.738467289719626,19.283,-16.066514018691592,-17.468
0.24,224,112,112,211,107,102,5,0.5119617224880383,0.9553571428571429,0.9107142857142857,0.044642857142857144,17.654355140186915,19.283,-15.98240186915888,-17.442
0.25,224,112,112,210,107,101,5,0.5144230769230769,0.9553571428571429,0.9017857142857143,0.044642857142857144,17.36463551401869,19.167,-15.692682242990657,-17.4
0.26,224,112,112,208,106,99,6,0.5170731707317073,0.9464285714285714,0.8839285714285714,0.05357142857142857,17.502047169811323,19.167,-15.832877358490567,-17.421
0.27,224,112,112,207,106,98,6,0.5196078431372549,0.9464285714285714,0.875,0.05357142857142857,17.417141509433964,19.167,-15.747971698113208,-17.35
0.28,224,112,112,207,106,98,6,0.5196078431372549,0.9464285714285714,0.875,0.05357142857142857,17.34638679245283,19.167,-15.677216981132077,-17.3
0.29,224,112,112,206,106,98,6,0.5196078431372549,0.9464285714285714,0.875,0.05357142857142857,17.19072641509434,19.058500000000002,-15.521556603773586,-17.25
0.3,224,112,112,205,106,97,6,0.5221674876847291,0.9464285714285714,0.8660714285714286,0.05357142857142857,16.926575471698115,19.033,-15.257405660377358,-17.183500000000002
0.31,224,112,112,201,105,94,7,0.5276381909547738,0.9375,0.8392857142857143,0.0625,17.01912380952381,19.02,-15.343076190476188,-17.137
0.32,224,112,112,196,104,90,8,0.5360824742268041,0.9285714285714286,0.8035714285714286,0.07142857142857142,16.780846153846156,18.974,-15.103423076923075,-17.014000000000003
0.33,224,112,112,192,100,87,12,0.5347593582887701,0.8928571428571429,0.7767857142857143,0.10714285714285714,17.03272,19.000500000000002,-15.346200000000001,-17.122
0.34,224,112,112,192,100,87,12,0.5347593582887701,0.8928571428571429,0.7767857142857143,0.10714285714285714,16.87272,19.000500000000002,-15.186200000000001,-17.122
0.35,224,112,112,191,99,86,13,0.5351351351351351,0.8839285714285714,0.7678571428571429,0.11607142857142858,16.672040404040402,18.967,-14.997,-17.111
0.36,224,112,112,189,98,85,14,0.5355191256830601,0.875,0.7589285714285714,0.125,16.708826530612242,18.974,-15.02995918367347,-17.122
0.37,224,112,112,187,97,84,15,0.5359116022099447,0.8660714285714286,0.75,0.13392857142857142,16.60479381443299,18.981,-14.914463917525772,-17.133
0.38,224,112,112,185,96,83,16,0.5363128491620112,0.8571428571428571,0.7410714285714286,0.14285714285714285,16.576062500000003,18.974,-14.871947916666665,-17.122
0.39,224,112,112,183,95,81,17,0.5397727272727273,0.8482142857142857,0.7232142857142857,0.15178571428571427,16.556863157894735,18.981,-14.844631578947372,-17.133
0.4,224,112,112,181,94,79,18,0.5433526011560693,0.8392857142857143,0.7053571428571429,0.16071428571428573,16.56101063829787,18.95,-14.849010638297873,-17.134999999999998
0.41,224,112,112,179,93,78,19,0.543859649122807,0.8303571428571429,0.6964285714285714,0.16964285714285715,16.471290322580643,18.867,-14.756333333333336,-17.111
