threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,17.869955357142857,19.225,-16.209821428571427,-17.616500000000002
0.11,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,17.8253125,19.225,-16.165178571428573,-17.616500000000002
0.12,224,112,112,223,111,111,1,0.5,0.9910714285714286,0.9910714285714286,0.008928571428571428,17.853837837837833,19.283,-16.19585585585586,-17.633
0.13,224,112,112,223,110,111,2,0.497737556561086,0.9821428571428571,0.9910714285714286,0.017857142857142856,18.00341818181818,19.283,-16.337936363636366,-17.636499999999998
0.14,224,112,112,223,110,111,2,0.497737556561086,0.9821428571428571,0.9910714285714286,0.017857142857142856,17.976145454545453,19.283,-16.31066363636364,-17.636499999999998
0.15,224,112,112,221,109,109,3,0.5,0.9732142857142857,0.9732142857142857,0.026785714285714284,18.006119266055045,19.283,-16.334045871559635,-17.633
0.16,224,112,112,219,108,107,4,0.5023255813953489,0.9642857142857143,0.9553571428571429,0.03571428571428571,18.13246296296296,19.283,-16.45538888888889,-17.616500000000002
0.17,224,112,112,218,108,106,4,0.5046728971962616,0.9642857142857143,0.9464285714285714,0.03571428571428571,18.109314814814812,19.283,-16.432240740740742,-17.55
0.18,224,112,112,218,107,106,5,0.5023474178403756,0.9553571428571429,0.9464285714285714,0.044642857142857144,18.157757009345794,19.283,-16.4668785046729,-17.533
0.19,224,112,112,215,107,105,5,0.5047169811320755,0.9553571428571429,0.9375,0.044642857142857144,18.022242990654206,19.283,-16.33136448598131,-17.5
0.2,224,112,112,215,107,105,5,0.5047169811320755,0.9553571428571429,0.9375,0.044642857142857144,17.98018691588785,19.283,-16.289308411214954,-17.5
0.21,224,112,112,212,105,103,7,0.5048076923076923,0.9375,0.9196428571428571,0.0625,18.028647619047618,19.3,-16.352599999999995,-17.5
0.22,224,112,112,212,105,103,7,0.5048076923076923,0.9375,0.9196428571428571,0.0625,17.952457142857142,19.283,-16.27640952380952,-17.5
0.23,224,112,112,212,105,103,7,0.5048076923076923,0.9375,0.9196428571428571,0.0625,17.842933333333335,19.283,-16.166885714285712,-17.5
0.24,224,112,112,210,105,102,7,0.5072463768115942,0.9375,0.9107142857142857,0.0625,17.742933333333333,19.283,-16.06688571428571,-17.468
0.25,224,112,112,208,105,100,7,0.5121951219512195,0.9375,0.8928571428571429,0.0625,17.685790476190476,19.283,-16.009742857142854,-17.468
0.26,224,112,112,204,105,96,7,0.5223880597014925,0.9375,0.8571428571428571,0.0625,17.414361904761904,19.167,-15.738314285714283,-17.442
