threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,18.490491071428572,19.725,-16.830357142857142,-18.116500000000002
0.11,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,18.383348214285714,19.725,-16.723214285714285,-18.116500000000002
0.12,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,18.34316964285714,19.725,-16.683035714285715,-18.116500000000002
0.13,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,18.227098214285714,19.725,-16.566964285714285,-18.116500000000002
0.14,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,18.204776785714284,19.725,-16.544642857142858,-18.116500000000002
0.15,224,112,112,222,112,110,0,0.5045045045045045,1.0,0.9821428571428571,0.0,18.19138392857143,19.667,-16.53125,-18.073
0.16,224,112,112,222,112,110,0,0.5045045045045045,1.0,0.9821428571428571,0.0,18.16013392857143,19.667,-16.5,-18.023
0.17,224,112,112,222,111,110,1,0.502262443438914,0.9910714285714286,0.9821428571428571,0.008928571428571428,18.28445045045045,19.667,-16.61955855855856,-18.0
0.18,224,112,112,221,111,109,1,0.5045454545454545,0.9910714285714286,0.9732142857142857,0.008928571428571428,18.26643243243243,19.667,-16.601540540540544,-18.0
0.19,224,112,112,221,111,109,1,0.5045454545454545,0.9910714285714286,0.9732142857142857,0.008928571428571428,18.2349009009009,19.667,-16.57000900900901,-17.942
0.2,224,112,112,221,110,109,2,0.502283105022831,0.9821428571428571,0.9732142857142857,0.017857142857142856,18.224072727272723,19.725,-16.54586363636364,-17.955
0.21,224,112,112,219,108,108,4,0.5,0.9642857142857143,0.9642857142857143,0.03571428571428571,18.385083333333334,19.783,-16.701092592592595,-17.984
0.22,224,112,112,218,108,107,4,0.5023255813953489,0.9642857142857143,0.9553571428571429,0.03571428571428571,18.320268518518517,19.725,-16.636277777777778,-17.984
0.23,224,112,112,216,108,105,4,0.5070422535211268,0.9642857142857143,0.9375,0.03571428571428571,18.29249074074074,19.725,-16.6085,-17.984
0.24,224,112,112,213,107,104,5,0.5071090047393365,0.9553571428571429,0.9285714285714286,0.044642857142857144,18.219775700934576,19.783,-16.547822429906542,-17.968
0.25,224,112,112,213,107,104,5,0.5071090047393365,0.9553571428571429,0.9285714285714286,0.044642857142857144,18.149682242990654,19.783,-16.47772897196262,-17.968
0.26,224,112,112,211,107,102,5,0.5119617224880383,0.9553571428571429,0.9107142857142857,0.044642857142857144,18.08426168224299,19.667,-16.412308411214955,-17.968
0.27,224,112,112,211,107,102,5,0.5119617224880383,0.9553571428571429,0.9107142857142857,0.044642857142857144,17.86463551401869,19.667,-16.192682242990657,-17.9
0.28,224,112,112,211,107,102,5,0.5119617224880383,0.9553571428571429,0.9107142857142857,0.044642857142857144,17.822579439252333,19.667,-16.1506261682243,-17.8
0.29,224,112,112,209,106,101,6,0.5120772946859904,0.9464285714285714,0.9017857142857143,0.05357142857142857,17.84638679245283,19.619500000000002,-16.177216981132077,-17.8
0.3,224,112,112,209,106,101,6,0.5120772946859904,0.9464285714285714,0.9017857142857143,0.05357142857142857,17.73317924528302,19.539,-16.064009433962266,-17.75
0.31,224,112,112,206,106,98,6,0.5196078431372549,0.9464285714285714,0.875,0.05357142857142857,17.553933962264153,19.533,-15.884764150943397,-17.683500000000002
