threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.11,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.12,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.13,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.14,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.15,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.16,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.17,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.18,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.19,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.2,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.21,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.22,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.23,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.24,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.25,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.26,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.27,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.28,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.588705357142857,19.802500000000002,-16.928571428571427,-18.200000000000003
0.29,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.486026785714284,19.802500000000002,-16.825892857142858,-18.200000000000003
0.3,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.46816964285714,19.783,-16.808035714285715,-18.1535
0.31,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.423526785714284,19.783,-16.763392857142858,-18.1535
0.32,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.401205357142857,19.783,-16.741071428571427,-18.136499999999998
0.33,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.418999999999997,19.667,-16.745711711711714,-18.0
0.34,224,112,112,224,110,112,2,0.4954954954954955,0.9821428571428571,1.0,0.017857142857142856,18.42590909090909,19.725,-16.75467272727273,-18.05
0.35,224,112,112,224,110,112,2,0.4954954954954955,0.9821428571428571,1.0,0.017857142857142856,18.40772727272727,19.725,-16.73649090909091,-18.05
0.36,224,112,112,224,109,112,3,0.49321266968325794,0.9732142857142857,1.0,0.026785714285714284,18.483357798165137,19.783,-16.80198165137615,-18.1
0.37,224,112,112,224,109,112,3,0.49321266968325794,0.9732142857142857,1.0,0.026785714285714284,18.45583486238532,19.783,-16.77445871559633,-18.1
0.38,224,112,112,224,109,112,3,0.49321266968325794,0.9732142857142857,1.0,0.026785714285714284,18.428311926605502,19.667,-16.746935779816514,-18.0
0.39,224,112,112,222,109,110,3,0.4977168949771689,0.9732142857142857,0.9821428571428571,0.026785714285714284,18.345743119266054,19.667,-16.664366972477065,-18.0
0.4,224,112,112,221,109,109,3,0.5,0.9732142857142857,0.9732142857142857,0.026785714285714284,18.313633027522936,19.667,-16.632256880733948,-18.0
0.41,224,112,112,219,109,109,3,0.5,0.9732142857142857,0.9732142857142857,0.026785714285714284,18.253999999999998,19.667,-16.57262385321101,-18.0
0.42,224,112,112,216,109,106,3,0.5069767441860465,0.9732142857142857,0.9464285714285714,0.026785714285714284,18.093449541284404,19.667,-16.412073394495415,-18.0
0.43,224,112,112,216,109,106,3,0.5069767441860465,0.9732142857142857,0.9464285714285714,0.026785714285714284,17.960422018348623,19.667,-16.279045871559635,-17.968
0.44,224,112,112,216,108,106,4,0.5046728971962616,0.9642857142857143,0.9464285714285714,0.03571428571428571,17.87764814814815,19.558500000000002,-16.18841666666667,-17.921
0.45,224,112,112,214,107,105,5,0.5047169811320755,0.9553571428571429,0.9375,0.044642857142857144,17.88714953271028,19.545,-16.192710280373834,-17.801
0.46,224,112,112,213,106,104,6,0.5047619047619047,0.9464285714285714,0.9285714285714286,0.05357142857142857,17.613443396226415,19.5265,-15.911820754716981,-17.794
0.47,224,112,112,211,105,102,7,0.5072463768115942,0.9375,0.9107142857142857,0.0625,17.56881904761905,19.52,-15.869723809523808,-17.7
0.48,224,112,112,207,104,99,8,0.5123152709359606,0.9285714285714286,0.8839285714285714,0.07142857142857142,17.466509615384616,19.5265,-15.760182692307692,-17.6385
0.49,224,112,112,202,103,94,9,0.5228426395939086,0.9196428571428571,0.8392857142857143,0.08035714285714286,17.351621359223298,19.367,-15.643611650485438,-17.417
0.5,224,112,112,201,100,93,12,0.5181347150259067,0.8928571428571429,0.8303571428571429,0.10714285714285714,17.261570000000003,19.3985,-15.543220000000002,-17.514000000000003
0.51,224,112,112,195,99,88,13,0.5294117647058824,0.8839285714285714,0.7857142857142857,0.11607142857142858,17.122272727272726,19.233,-15.39237373737374,-17.4
0.52,224,112,112,190,98,85,14,0.5355191256830601,0.875,0.7589285714285714,0.125,17.064561224489797,19.241500000000002,-15.35479591836735,-17.4085
0.53,224,112,112,179,98,74,14,0.5697674418604651,0.875,0.6607142857142857,0.125,16.273744897959183,19.0435,-14.563979591836738,-16.979
0.54,224,112,112,168,97,68,15,0.5878787878787879,0.8660714285714286,0.6071428571428571,0.13392857142857142,16.02216494845361,18.933,-14.30456701030928,-16.9
0.55,224,112,112,161,92,64,20,0.5897435897435898,0.8214285714285714,0.5714285714285714,0.17857142857142858,15.530489130434784,18.933,-13.799652173913044,-16.759
0.56,224,112,112,149,86,57,26,0.6013986013986014,0.7678571428571429,0.5089285714285714,0.23214285714285715,15.648418604651159,19.009999999999998,-13.89079069767442,-16.8765
0.57,224,112,112,138,84,52,28,0.6176470588235294,0.75,0.4642857142857143,0.25,15.561571428571426,18.7265,-13.785892857142859,-16.6335
0.58,224,112,112,133,83,47,29,0.6384615384615384,0.7410714285714286,0.41964285714285715,0.25892857142857145,14.704481927710843,18.653,-12.911024096385542,-15.899999999999999
0.59,224,112,112,122,79,39,33,0.6694915254237288,0.7053571428571429,0.3482142857142857,0.29464285714285715,14.804734177215188,18.15,-12.992949367088608,-15.899999999999999
0.6,224,112,112,119,75,37,37,0.6696428571428571,0.6696428571428571,0.33035714285714285,0.33035714285714285,13.900986666666668,16.867,-12.06412,-14.914000000000001
