threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.11,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.12,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.13,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.14,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.119955357142857,19.2915,-16.459821428571427,-17.6535
0.15,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.119955357142857,19.2915,-16.459821428571427,-17.6535
0.16,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.0753125,19.2915,-16.415178571428573,-17.6535
0.17,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.057455357142857,19.2915,-16.397321428571427,-17.6535
0.18,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.052991071428572,19.283,-16.392857142857142,-17.636499999999998
0.19,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.048526785714284,19.225,-16.388392857142858,-17.636499999999998
0.2,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,18.008348214285714,19.225,-16.348214285714285,-17.616500000000002
0.21,224,112,112,222,112,110,0,0.5045045045045045,1.0,0.9821428571428571,0.0,17.93691964285714,19.167,-16.276785714285715,-17.573
0.22,224,112,112,222,112,110,0,0.5045045045045045,1.0,0.9821428571428571,0.0,17.744955357142857,19.167,-16.084821428571427,-17.455
0.23,224,112,112,222,112,110,0,0.5045045045045045,1.0,0.9821428571428571,0.0,17.744955357142857,19.167,-16.084821428571427,-17.455
