threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.11,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.12,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.13,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.14,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.12888392857143,19.2915,-16.46875,-17.700000000000003
0.15,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.079776785714284,19.2915,-16.419642857142858,-17.6535
0.16,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.06638392857143,19.2915,-16.40625,-17.6535
0.17,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,18.06638392857143,19.2915,-16.40625,-17.6535
0.18,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,18.021741071428572,19.283,-16.361607142857142,-17.636499999999998
0.19,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,17.90566964285714,19.225,-16.245535714285715,-17.636499999999998
0.2,224,112,112,222,111,110,1,0.502262443438914,0.9910714285714286,0.9821428571428571,0.008928571428571428,18.042576576576575,19.283,-16.37601801801802,-17.633
0.21,224,112,112,222,111,110,1,0.502262443438914,0.9910714285714286,0.9821428571428571,0.008928571428571428,17.938972972972973,19.167,-16.272414414414413,-17.5
0.22,224,112,112,222,111,110,1,0.502262443438914,0.9910714285714286,0.9821428571428571,0.008928571428571428,17.884918918918917,19.167,-16.21836036036036,-17.468
0.23,224,112,112,222,111,110,1,0.502262443438914,0.9910714285714286,0.9821428571428571,0.008928571428571428,17.839873873873874,19.167,-16.173315315315318,-17.468
