threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.11,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.12,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.13,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.14,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.62888392857143,19.7915,-16.96875,-18.200000000000003
0.15,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.62888392857143,19.7915,-16.96875,-18.200000000000003
0.16,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.619955357142857,19.7915,-16.959821428571427,-18.200000000000003
0.17,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.570848214285714,19.7915,-16.910714285714285,-18.1535
0.18,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.56638392857143,19.783,-16.90625,-18.136499999999998
0.19,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.56191964285714,19.725,-16.901785714285715,-18.136499999999998
0.2,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.517276785714284,19.725,-16.857142857142858,-18.116500000000002
0.21,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,18.517276785714284,19.725,-16.857142857142858,-18.116500000000002
0.22,224,112,112,222,112,110,0,0.5045045045045045,1.0,0.9821428571428571,0.0,18.414598214285714,19.667,-16.754464285714285,-17.955
0.23,224,112,112,222,112,110,0,0.5045045045045045,1.0,0.9821428571428571,0.0,18.396741071428572,19.667,-16.736607142857142,-17.955
0.24,224,112,112,222,112,110,0,0.5045045045045045,1.0,0.9821428571428571,0.0,18.3565625,19.667,-16.696428571428573,-17.955
0.25,224,112,112,222,112,110,0,0.5045045045045045,1.0,0.9821428571428571,0.0,18.320848214285714,19.619500000000002,-16.660714285714285,-17.886499999999998
0.26,224,112,112,222,112,110,0,0.5045045045045045,1.0,0.9821428571428571,0.0,18.173526785714284,19.619500000000002,-16.513392857142858,-17.8365
0.27,224,112,112,222,112,110,0,0.5045045045045045,1.0,0.9821428571428571,0.0,17.999419642857145,19.552500000000002,-16.339285714285715,-17.8005
0.28,224,112,112,222,111,110,1,0.502262443438914,0.9910714285714286,0.9821428571428571,0.008928571428571428,17.968549549549547,19.572,-16.295261261261263,-17.801
0.29,224,112,112,222,111,110,1,0.502262443438914,0.9910714285714286,0.9821428571428571,0.008928571428571428,17.959540540540537,19.533,-16.286252252252254,-17.8
0.3,224,112,112,222,111,110,1,0.502262443438914,0.9910714285714286,0.9821428571428571,0.008928571428571428,17.932513513513513,19.533,-16.25922522522523,-17.8
0.31,224,112,112,222,111,110,1,0.502262443438914,0.9910714285714286,0.9821428571428571,0.008928571428571428,17.891972972972972,19.52,-16.21868468468469,-17.727
0.32,224,112,112,221,111,109,1,0.5045454545454545,0.9910714285714286,0.9732142857142857,0.008928571428571428,17.779360360360357,19.52,-16.106072072072074,-17.667
0.33,224,112,112,221,111,109,1,0.5045454545454545,0.9910714285714286,0.9732142857142857,0.008928571428571428,17.734315315315314,19.52,-16.06102702702703,-17.667
0.34,224,112,112,219,111,107,1,0.5091743119266054,0.9910714285714286,0.9553571428571429,0.008928571428571428,17.680261261261258,19.481,-16.006972972972974,-17.637
0.35,224,112,112,218,111,106,1,0.511520737327189,0.9910714285714286,0.9464285714285714,0.008928571428571428,17.630711711711708,19.433,-15.957423423423426,-17.611
0.36,224,112,112,218,110,106,2,0.5092592592592593,0.9821428571428571,0.9464285714285714,0.017857142857142856,17.698636363636364,19.4,-16.027400000000004,-17.622
0.37,224,112,112,217,110,105,2,0.5116279069767442,0.9821428571428571,0.9375,0.017857142857142856,17.56681818181818,19.3655,-15.895581818181821,-17.5165
0.38,224,112,112,215,108,104,4,0.5094339622641509,0.9642857142857143,0.9285714285714286,0.03571428571428571,17.566546296296295,19.332,-15.881953703703706,-17.4
0.39,224,112,112,213,108,102,4,0.5142857142857142,0.9642857142857143,0.9107142857142857,0.03571428571428571,17.335064814814814,19.275,-15.650472222222223,-17.3115
0.4,224,112,112,212,106,101,6,0.5120772946859904,0.9464285714285714,0.9017857142857143,0.05357142857142857,17.518169811320753,19.275,-15.820330188679247,-17.3425
0.41,224,112,112,209,105,100,7,0.5121951219512195,0.9375,0.8928571428571429,0.0625,17.600885714285717,19.233,-15.904019047619048,-17.333
0.42,224,112,112,207,105,99,7,0.5147058823529411,0.9375,0.8839285714285714,0.0625,17.519933333333334,19.167,-15.823066666666668,-17.29
0.43,224,112,112,202,104,95,8,0.5226130653266332,0.9285714285714286,0.8482142857142857,0.07142857142857142,17.32580769230769,19.1585,-15.62173076923077,-17.256999999999998
0.44,224,112,112,201,104,94,8,0.5252525252525253,0.9285714285714286,0.8392857142857143,0.07142857142857142,17.119076923076925,19.119999999999997,-15.415000000000001,-17.233
0.45,224,112,112,196,103,89,9,0.5364583333333334,0.9196428571428571,0.7946428571428571,0.08035714285714286,16.920398058252424,19.081,-15.206407766990294,-16.968
0.46,224,112,112,196,103,89,9,0.5364583333333334,0.9196428571428571,0.7946428571428571,0.08035714285714286,16.5174854368932,19.081,-14.80349514563107,-16.968
0.47,224,112,112,196,102,89,10,0.5340314136125655,0.9107142857142857,0.7946428571428571,0.08928571428571429,16.116999999999997,19.0435,-14.396676470588238,-16.8425
0.48,224,112,112,195,100,89,12,0.5291005291005291,0.8928571428571429,0.7946428571428571,0.10714285714285714,16.11471,19.009999999999998,-14.385310000000002,-16.759
0.49,224,112,112,192,100,87,12,0.5347593582887701,0.8928571428571429,0.7767857142857143,0.10714285714285714,15.45471,18.543,-13.725310000000002,-16.6115
0.5,224,112,112,187,99,85,13,0.5380434782608695,0.8839285714285714,0.7589285714285714,0.11607142857142858,15.086575757575757,18.3,-13.349131313131311,-16.493
0.51,224,112,112,183,97,82,15,0.5418994413407822,0.8660714285714286,0.7321428571428571,0.13392857142857142,14.88915463917526,18.329,-13.166412371134019,-16.493
0.52,224,112,112,180,92,81,20,0.5317919075144508,0.8214285714285714,0.7232142857142857,0.17857142857142858,14.721499999999997,18.1,-13.011358695652175,-16.2145
0.53,224,112,112,175,89,77,23,0.536144578313253,0.7946428571428571,0.6875,0.20535714285714285,14.638674157303372,18.3,-12.903696629213481,-16.433
0.54,224,112,112,172,89,74,23,0.5460122699386503,0.7946428571428571,0.6607142857142857,0.20535714285714285,14.503842696629215,18.3,-12.768865168539325,-16.227
0.55,224,112,112,168,86,73,26,0.5408805031446541,0.7678571428571429,0.6517857142857143,0.23214285714285715,14.527104651162789,18.2915,-12.753906976744187,-16.463
0.56,224,112,112,162,84,68,28,0.5526315789473685,0.75,0.6071428571428571,0.25,14.42045238095238,17.883499999999998,-12.631380952380956,-16.189500000000002
0.57,224,112,112,153,82,65,30,0.5578231292517006,0.7321428571428571,0.5803571428571429,0.26785714285714285,14.189439024390243,17.8645,-12.389256097560976,-15.9395
0.58,224,112,112,147,81,60,31,0.574468085106383,0.7232142857142857,0.5357142857142857,0.2767857142857143,13.575320987654322,17.65,-11.765666666666668,-15.446000000000002
0.59,224,112,112,142,77,56,35,0.5789473684210527,0.6875,0.5,0.3125,13.4137012987013,17.52,-11.598363636363636,-14.914000000000001
