threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.11,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.12,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.13,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.14,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.119955357142857,19.302500000000002,-16.459821428571427,-17.700000000000003
0.15,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.084241071428572,19.302500000000002,-16.424107142857142,-17.700000000000003
0.16,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.173657657657653,19.3,-16.51567567567568,-17.667
0.17,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.074558558558554,19.283,-16.41657657657658,-17.667
0.18,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.034018018018013,19.283,-16.37603603603604,-17.64
0.19,224,112,112,224,110,112,2,0.4954954954954955,0.9821428571428571,1.0,0.017857142857142856,18.135236363636363,19.2915,-16.46975454545455,-17.6535
0.2,224,112,112,224,110,112,2,0.4954954954954955,0.9821428571428571,1.0,0.017857142857142856,18.107963636363635,19.283,-16.44248181818182,-17.636499999999998
0.21,224,112,112,224,110,112,2,0.4954954954954955,0.9821428571428571,1.0,0.017857142857142856,17.921599999999998,19.225,-16.256118181818184,-17.616500000000002
0.22,224,112,112,224,109,112,3,0.49321266968325794,0.9732142857142857,1.0,0.026785714285714284,18.00412844036697,19.283,-16.325201834862387,-17.633
