threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.11,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.12,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.13,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.14,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.133348214285714,19.302500000000002,-16.473214285714285,-17.700000000000003
0.15,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.173657657657653,19.305,-16.51567567567568,-17.733
0.16,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.164648648648644,19.3,-16.50666666666667,-17.667
0.17,224,112,112,224,111,112,1,0.4977578475336323,0.9910714285714286,1.0,0.008928571428571428,18.05654054054054,19.283,-16.398558558558562,-17.64
0.18,224,112,112,224,110,112,2,0.4954954954954955,0.9821428571428571,1.0,0.017857142857142856,18.135236363636363,19.2915,-16.46975454545455,-17.6535
0.19,224,112,112,224,110,112,2,0.4954954954954955,0.9821428571428571,1.0,0.017857142857142856,18.121599999999997,19.2915,-16.456118181818184,-17.6535
0.2,224,112,112,224,109,112,3,0.49321266968325794,0.9732142857142857,1.0,0.026785714285714284,18.210550458715595,19.283,-16.53162385321101,-17.64
0.21,224,112,112,224,109,112,3,0.49321266968325794,0.9732142857142857,1.0,0.026785714285714284,18.192201834862384,19.283,-16.5132752293578,-17.64
0.22,224,112,112,224,109,112,3,0.49321266968325794,0.9732142857142857,1.0,0.026785714285714284,18.178440366972474,19.283,-16.49951376146789,-17.64
