threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.11,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.12,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.13,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.14,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.15,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.62441964285714,19.802500000000002,-16.964285714285715,-18.200000000000003
0.16,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.588705357142857,19.7915,-16.928571428571427,-18.167
0.17,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.517276785714284,19.7915,-16.857142857142858,-18.167
0.18,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.40566964285714,19.783,-16.745535714285715,-18.136499999999998
0.19,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.392276785714284,19.783,-16.732142857142858,-18.136499999999998
0.2,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.383348214285714,19.725,-16.723214285714285,-18.116500000000002
0.21,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.3565625,19.725,-16.696428571428573,-18.116500000000002
0.22,224,112,112,224,110,112,2,0.4954954954954955,0.9821428571428571,1.0,0.017857142857142856,18.621363636363636,19.783,-16.950127272727276,-18.136499999999998
0.23,224,112,112,224,110,112,2,0.4954954954954955,0.9821428571428571,1.0,0.017857142857142856,18.52590909090909,19.783,-16.854672727272728,-18.136499999999998
0.24,224,112,112,224,110,112,2,0.4954954954954955,0.9821428571428571,1.0,0.017857142857142856,18.521363636363635,19.783,-16.850127272727274,-18.136499999999998
0.25,224,112,112,224,110,112,2,0.4954954954954955,0.9821428571428571,1.0,0.017857142857142856,18.31681818181818,19.725,-16.64558181818182,-18.05
0.26,224,112,112,224,110,112,2,0.4954954954954955,0.9821428571428571,1.0,0.017857142857142856,18.27590909090909,19.725,-16.60467272727273,-18.05
0.27,224,112,112,224,110,112,2,0.4954954954954955,0.9821428571428571,1.0,0.017857142857142856,18.262272727272727,19.725,-16.591036363636366,-18.05
0.28,224,112,112,223,110,112,2,0.4954954954954955,0.9821428571428571,1.0,0.017857142857142856,18.244090909090907,19.725,-16.57285454545455,-18.05
0.29,224,112,112,223,110,112,2,0.4954954954954955,0.9821428571428571,1.0,0.017857142857142856,18.194090909090907,19.725,-16.52285454545455,-18.05
0.3,224,112,112,222,109,111,3,0.4954545454545455,0.9732142857142857,0.9910714285714286,0.026785714285714284,18.334403669724768,19.783,-16.655477064220186,-18.1
0.31,224,112,112,222,109,111,3,0.4954545454545455,0.9732142857142857,0.9910714285714286,0.026785714285714284,18.334403669724768,19.783,-16.655477064220186,-18.1
0.32,224,112,112,220,109,109,3,0.5,0.9732142857142857,0.9732142857142857,0.026785714285714284,18.297706422018347,19.667,-16.61877981651376,-18.1
0.33,224,112,112,218,108,108,4,0.5,0.9642857142857143,0.9642857142857143,0.03571428571428571,18.28926851851852,19.667,-16.603564814814817,-18.05
0.34,224,112,112,216,107,106,5,0.5023474178403756,0.9553571428571429,0.9464285714285714,0.044642857142857144,18.3324953271028,19.667,-16.636327102803737,-18.0
0.35,224,112,112,216,106,106,6,0.5,0.9464285714285714,0.9464285714285714,0.05357142857142857,18.294122641509436,19.667,-16.59075471698113,-17.984
0.36,224,112,112,214,106,104,6,0.5047619047619047,0.9464285714285714,0.9285714285714286,0.05357142857142857,18.265820754716984,19.667,-16.56245283018868,-17.984
0.37,224,112,112,213,106,104,6,0.5047619047619047,0.9464285714285714,0.9285714285714286,0.05357142857142857,18.209216981132077,19.667,-16.505849056603772,-17.984
0.38,224,112,112,213,106,104,6,0.5047619047619047,0.9464285714285714,0.9285714285714286,0.05357142857142857,18.1856320754717,19.667,-16.482264150943394,-17.984
0.39,224,112,112,210,105,101,7,0.5097087378640777,0.9375,0.9017857142857143,0.0625,18.250628571428575,19.667,-16.541819047619047,-18.0
0.4,224,112,112,209,105,100,7,0.5121951219512195,0.9375,0.8928571428571429,0.0625,18.1744380952381,19.572,-16.46562857142857,-17.942
0.41,224,112,112,208,105,100,7,0.5121951219512195,0.9375,0.8928571428571429,0.0625,18.083961904761907,19.545,-16.375152380952382,-17.9
0.42,224,112,112,206,105,98,7,0.5172413793103449,0.9375,0.875,0.0625,17.9744380952381,19.539,-16.26562857142857,-17.9
0.43,224,112,112,203,105,95,7,0.525,0.9375,0.8482142857142857,0.0625,17.660152380952383,19.52,-15.951342857142858,-17.867
0.44,224,112,112,200,105,92,7,0.5329949238578681,0.9375,0.8214285714285714,0.0625,17.574438095238097,19.52,-15.865628571428573,-17.7
0.45,224,112,112,199,105,91,7,0.5357142857142857,0.9375,0.8125,0.0625,17.522057142857147,19.481,-15.813247619047619,-17.7
0.46,224,112,112,196,105,89,7,0.5412371134020618,0.9375,0.7946428571428571,0.0625,17.274438095238096,19.43,-15.565628571428572,-17.611
0.47,224,112,112,189,102,84,10,0.5483870967741935,0.9107142857142857,0.75,0.08928571428571429,17.02633333333333,19.367,-15.324235294117647,-17.4
0.48,224,112,112,188,101,83,11,0.5489130434782609,0.9017857142857143,0.7410714285714286,0.09821428571428571,16.958029702970297,19.25,-15.256227722772278,-17.4
0.49,224,112,112,188,100,83,12,0.546448087431694,0.8928571428571429,0.7410714285714286,0.10714285714285714,16.78062,19.2075,-15.0738,-17.3595
0.5,224,112,112,180,97,77,15,0.5574712643678161,0.8660714285714286,0.6875,0.13392857142857142,16.680835051546392,19.167,-14.963649484536083,-17.352
0.51,224,112,112,178,95,75,17,0.5588235294117647,0.8482142857142857,0.6696428571428571,0.15178571428571427,16.623452631578942,19.167,-14.931115789473685,-17.281
0.52,224,112,112,174,94,72,18,0.5662650602409639,0.8392857142857143,0.6428571428571429,0.16071428571428573,16.427606382978723,19.15,-14.720457446808513,-17.2855
0.53,224,112,112,170,91,72,21,0.558282208588957,0.8125,0.6428571428571429,0.1875,16.223109890109892,19.133,-14.487758241758241,-17.281
0.54,224,112,112,167,90,69,22,0.5660377358490566,0.8035714285714286,0.6160714285714286,0.19642857142857142,15.873733333333336,19.009999999999998,-14.122066666666665,-16.9
0.55,224,112,112,158,87,64,25,0.5761589403973509,0.7767857142857143,0.5714285714285714,0.22321428571428573,15.799988505747125,19.067,-14.052896551724142,-16.9
0.56,224,112,112,151,87,57,25,0.6041666666666666,0.7767857142857143,0.5089285714285714,0.22321428571428573,15.518379310344827,19.02,-13.771287356321842,-16.9
0.57,224,112,112,148,86,55,26,0.6099290780141844,0.7678571428571429,0.49107142857142855,0.23214285714285715,15.3073488372093,18.9665,-13.568627906976745,-16.7865
0.58,224,112,112,139,84,48,28,0.6363636363636364,0.75,0.42857142857142855,0.25,15.316261904761905,18.841,-13.559952380952382,-16.844
0.59,224,112,112,136,83,47,29,0.6384615384615384,0.7410714285714286,0.41964285714285715,0.25892857142857145,15.213879518072291,18.433,-13.448614457831328,-16.733
0.6,224,112,112,131,80,44,32,0.6451612903225806,0.7142857142857143,0.39285714285714285,0.2857142857142857,14.9454375,18.3485,-13.16085,-16.463
