threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.057455357142857,19.283,-16.397321428571427,-17.636499999999998
0.11,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.00388392857143,19.225,-16.34375,-17.636499999999998
0.12,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,17.8878125,19.225,-16.227678571428573,-17.636499999999998
0.13,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,17.852098214285714,19.225,-16.191964285714285,-17.616500000000002
0.14,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,17.798526785714284,19.167,-16.138392857142858,-17.573
0.15,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,17.798526785714284,19.167,-16.138392857142858,-17.573
0.16,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,17.771741071428572,19.167,-16.111607142857142,-17.484
0.17,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,17.6690625,19.119500000000002,-16.008928571428573,-17.455
0.18,224,112,112,223,111,111,1,0.5,0.9910714285714286,0.9910714285714286,0.008928571428571428,17.793108108108104,19.072,-16.125522522522523,-17.468
0.19,224,112,112,221,111,109,1,0.5045454545454545,0.9910714285714286,0.9732142857142857,0.008928571428571428,17.793108108108104,19.072,-16.125522522522523,-17.468
0.2,224,112,112,221,111,109,1,0.5045454545454545,0.9910714285714286,0.9732142857142857,0.008928571428571428,17.743558558558554,19.072,-16.075972972972973,-17.4
0.21,224,112,112,220,110,108,2,0.5045871559633027,0.9821428571428571,0.9642857142857143,0.017857142857142856,17.776145454545453,19.119500000000002,-16.11066363636364,-17.35
0.22,224,112,112,220,110,108,2,0.5045871559633027,0.9821428571428571,0.9642857142857143,0.017857142857142856,17.748872727272726,19.119500000000002,-16.083390909090912,-17.35
0.23,224,112,112,220,110,108,2,0.5045871559633027,0.9821428571428571,0.9642857142857143,0.017857142857142856,17.69432727272727,19.119500000000002,-16.028845454545458,-17.35
0.24,224,112,112,220,110,108,2,0.5045871559633027,0.9821428571428571,0.9642857142857143,0.017857142857142856,17.65341818181818,19.033,-15.987936363636365,-17.2635
0.25,224,112,112,220,110,108,2,0.5045871559633027,0.9821428571428571,0.9642857142857143,0.017857142857142856,17.59432727272727,19.0265,-15.928845454545456,-17.2135
0.26,224,112,112,219,110,107,2,0.5069124423963134,0.9821428571428571,0.9553571428571429,0.017857142857142856,17.56250909090909,19.000500000000002,-15.897027272727275,-17.183500000000002
0.27,224,112,112,217,110,105,2,0.5116279069767442,0.9821428571428571,0.9375,0.017857142857142856,17.39432727272727,18.95,-15.728845454545457,-17.134999999999998
0.28,224,112,112,217,108,105,4,0.5070422535211268,0.9642857142857143,0.9375,0.03571428571428571,17.54389814814815,18.974,-15.858194444444447,-17.134999999999998
0.29,224,112,112,216,108,105,4,0.5070422535211268,0.9642857142857143,0.9375,0.03571428571428571,17.49297222222222,18.974,-15.80726851851852,-17.122
0.3,224,112,112,215,107,104,5,0.5071090047393365,0.9553571428571429,0.9285714285714286,0.044642857142857144,17.19571028037383,18.967,-15.508579439252337,-17.111
0.31,224,112,112,213,107,103,5,0.5095238095238095,0.9553571428571429,0.9196428571428571,0.044642857142857144,16.980757009345794,18.933,-15.2936261682243,-17.111
0.32,224,112,112,213,107,103,5,0.5095238095238095,0.9553571428571429,0.9196428571428571,0.044642857142857144,16.905990654205606,18.933,-15.218859813084114,-17.111
0.33,224,112,112,211,107,101,5,0.5144230769230769,0.9553571428571429,0.9017857142857143,0.044642857142857144,16.784495327102803,18.867,-15.09736448598131,-16.917
0.34,224,112,112,209,106,99,6,0.5170731707317073,0.9464285714285714,0.8839285714285714,0.05357142857142857,16.854528301886795,18.867,-15.162160377358491,-16.875999999999998
0.35,224,112,112,207,104,98,8,0.5148514851485149,0.9285714285714286,0.875,0.07142857142857142,16.842576923076926,18.807000000000002,-15.132163461538461,-16.875999999999998
0.36,224,112,112,206,103,98,9,0.5124378109452736,0.9196428571428571,0.875,0.08035714285714286,16.56567961165048,18.633,-14.842223300970875,-16.79
0.37,224,112,112,203,102,95,10,0.5177664974619289,0.9107142857142857,0.8482142857142857,0.08928571428571429,16.3568431372549,18.6415,-14.626960784313729,-16.7855
0.38,224,112,112,198,102,91,10,0.5284974093264249,0.9107142857142857,0.8125,0.08928571428571429,16.136254901960783,18.6415,-14.406372549019611,-16.756999999999998
0.39,224,112,112,196,102,89,10,0.5340314136125655,0.9107142857142857,0.7946428571428571,0.08928571428571429,16.00390196078431,18.6415,-14.27401960784314,-16.756999999999998
0.4,224,112,112,196,101,89,11,0.531578947368421,0.9017857142857143,0.7946428571428571,0.09821428571428571,15.728702970297029,18.607,-14.001168316831688,-16.69
0.41,224,112,112,196,98,89,14,0.5240641711229946,0.875,0.7946428571428571,0.125,16.061387755102043,18.65,-14.314816326530613,-16.73
0.42,224,112,112,192,98,86,14,0.532608695652174,0.875,0.7678571428571429,0.125,15.852204081632653,18.594,-14.105632653061225,-16.73
0.43,224,112,112,189,98,83,14,0.5414364640883977,0.875,0.7410714285714286,0.125,15.673632653061226,18.573999999999998,-13.927061224489798,-16.613500000000002
0.44,224,112,112,187,98,83,14,0.5414364640883977,0.875,0.7410714285714286,0.125,15.500163265306123,18.573999999999998,-13.753591836734694,-16.375999999999998
0.45,224,112,112,184,96,80,16,0.5454545454545454,0.8571428571428571,0.7142857142857143,0.14285714285714285,15.183958333333331,18.099,-13.443239583333332,-16.23
0.46,224,112,112,181,96,78,16,0.5517241379310345,0.8571428571428571,0.6964285714285714,0.14285714285714285,14.767291666666665,17.625,-13.026572916666666,-15.963
0.47,224,112,112,180,94,77,18,0.5497076023391813,0.8392857142857143,0.6875,0.16071428571428573,14.560223404255314,17.625,-12.801265957446812,-15.963
0.48,224,112,112,175,93,74,19,0.5568862275449101,0.8303571428571429,0.6607142857142857,0.16964285714285715,14.269827956989243,17.177,-12.505935483870969,-15.847000000000001
