threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.052991071428572,19.283,-16.392857142857142,-17.636499999999998
0.11,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,17.87888392857143,19.225,-16.21875,-17.636499999999998
0.12,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,17.8565625,19.225,-16.196428571428573,-17.616500000000002
0.13,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,17.84316964285714,19.225,-16.183035714285715,-17.616500000000002
0.14,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,17.78066964285714,19.167,-16.120535714285715,-17.573
0.15,224,112,112,223,110,111,2,0.497737556561086,0.9821428571428571,0.9910714285714286,0.017857142857142856,18.021145454545454,19.167,-16.347009090909093,-17.616500000000002
0.16,224,112,112,223,110,111,2,0.497737556561086,0.9821428571428571,0.9910714285714286,0.017857142857142856,17.984781818181816,19.167,-16.310645454545458,-17.523
0.17,224,112,112,223,110,111,2,0.497737556561086,0.9821428571428571,0.9910714285714286,0.017857142857142856,17.943872727272726,19.167,-16.269736363636365,-17.455
0.18,224,112,112,222,110,110,2,0.5,0.9821428571428571,0.9821428571428571,0.017857142857142856,17.907509090909087,19.167,-16.23337272727273,-17.455
0.19,224,112,112,221,110,109,2,0.502283105022831,0.9821428571428571,0.9732142857142857,0.017857142857142856,17.884781818181818,19.119500000000002,-16.210645454545457,-17.455
0.2,224,112,112,221,110,109,2,0.502283105022831,0.9821428571428571,0.9732142857142857,0.017857142857142856,17.82114545454545,19.119500000000002,-16.147009090909094,-17.35
0.21,224,112,112,221,109,109,3,0.5,0.9732142857142857,0.9732142857142857,0.026785714285714284,17.827220183486236,19.167,-16.155146788990827,-17.4
