threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.557455357142857,19.783,-16.897321428571427,-18.136499999999998
0.11,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.548526785714284,19.725,-16.888392857142858,-18.136499999999998
0.12,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.49941964285714,19.725,-16.839285714285715,-18.136499999999998
0.13,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.369955357142857,19.725,-16.709821428571427,-18.116500000000002
0.14,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.338705357142857,19.667,-16.678571428571427,-18.073
0.15,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.298526785714284,19.667,-16.638392857142858,-18.073
0.16,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.289598214285714,19.667,-16.629464285714285,-18.023
0.17,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.18691964285714,19.6455,-16.526785714285715,-17.984
0.18,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.164598214285714,19.6455,-16.504464285714285,-17.984
0.19,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,18.151205357142857,19.619500000000002,-16.491071428571427,-17.955
0.2,224,112,112,222,112,110,0,0.5045045045045045,1.0,0.9821428571428571,0.0,18.115491071428572,19.619500000000002,-16.455357142857142,-17.85
0.21,224,112,112,222,112,110,0,0.5045045045045045,1.0,0.9821428571428571,0.0,17.986026785714287,19.552500000000002,-16.325892857142858,-17.8
0.22,224,112,112,221,112,109,0,0.5067873303167421,1.0,0.9732142857142857,0.0,17.954776785714287,19.552500000000002,-16.294642857142858,-17.8
0.23,224,112,112,221,112,109,0,0.5067873303167421,1.0,0.9732142857142857,0.0,17.950312500000003,19.552500000000002,-16.290178571428573,-17.8
0.24,224,112,112,221,112,109,0,0.5067873303167421,1.0,0.9732142857142857,0.0,17.93245535714286,19.533,-16.272321428571427,-17.7635
0.25,224,112,112,221,112,109,0,0.5067873303167421,1.0,0.9732142857142857,0.0,17.834241071428572,19.5265,-16.174107142857142,-17.7635
0.26,224,112,112,221,112,109,0,0.5067873303167421,1.0,0.9732142857142857,0.0,17.825312500000003,19.500500000000002,-16.165178571428573,-17.7135
0.27,224,112,112,221,112,109,0,0.5067873303167421,1.0,0.9732142857142857,0.0,17.789598214285714,19.474,-16.129464285714285,-17.683500000000002
0.28,224,112,112,219,112,107,0,0.5114155251141552,1.0,0.9553571428571429,0.0,17.74495535714286,19.45,-16.084821428571427,-17.6535
0.29,224,112,112,219,111,107,1,0.5091743119266054,0.9910714285714286,0.9553571428571429,0.008928571428571428,17.84032432432432,19.467,-16.182342342342345,-17.64
0.3,224,112,112,219,111,107,1,0.5091743119266054,0.9910714285714286,0.9553571428571429,0.008928571428571428,17.56104504504504,19.467,-15.903063063063067,-17.637
0.31,224,112,112,219,111,107,1,0.5091743119266054,0.9910714285714286,0.9553571428571429,0.008928571428571428,17.362846846846846,19.467,-15.704864864864868,-17.633
