id,target,split,video_path,max_risk_score,mean_risk_score,p90_risk_score,frames_scored,frames_above_threshold,fraction_above_threshold,first_false_alert_time,top_risk_timestamp,top_risk_score,top_prob_class_2,top_prob_class_3,risk_segments_above_threshold,longest_segment_seconds,frames_above_0_5,fraction_above_0_5,frames_above_0_64,fraction_above_0_64,suggested_error_type,manual_error_type,notes
01599,0,val,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01599.mp4,0.7613183259963989,0.6397989936816839,0.6796554923057556,81,48,0.5925925925925926,5.0,7.0,0.7613183259963989,0.2407998442649841,0.5205184817314148,8,11.5,80,0.9876543209876543,48,0.5925925925925926,unknown,,
01283,0,val,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01283.mp4,0.846711277961731,0.6115497597833959,0.7844672203063965,82,37,0.45121951219512196,0.0,29.0,0.846711277961731,0.2168869078159332,0.6298243403434753,6,10.5,62,0.7560975609756098,37,0.45121951219512196,unknown,,
01242,0,val,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01242.mp4,0.7853136658668518,0.4636646419027705,0.7035113573074341,81,33,0.4074074074074074,0.0,16.5,0.7853136658668518,0.1528292298316955,0.6324844360351562,4,14.0,39,0.48148148148148145,33,0.4074074074074074,unknown,,
01581,0,val,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01581.mp4,0.7644559741020203,0.6144145399699976,0.7015641927719116,81,31,0.38271604938271603,0.5,37.0,0.7644559741020203,0.2276336699724197,0.5368223190307617,8,5.0,75,0.9259259259259259,31,0.38271604938271603,unknown,,
01114,0,val,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01114.mp4,0.7719459533691406,0.539887582820453,0.7368439197540283,89,30,0.33707865168539325,12.5,37.5,0.7719459533691406,0.2038476169109344,0.5680983066558838,9,3.5,56,0.6292134831460674,30,0.33707865168539325,unknown,,
01365,0,val,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01365.mp4,0.7681658864021301,0.549513930523837,0.7456479668617249,81,25,0.30864197530864196,19.0,24.0,0.7681658864021301,0.2145263403654098,0.5536395311355591,1,12.0,48,0.5925925925925926,25,0.30864197530864196,unknown,,
01271,0,val,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01271.mp4,0.7364875078201294,0.4628884004957882,0.7038056254386902,81,20,0.24691358024691357,8.0,28.5,0.7364875078201294,0.1644838601350784,0.5720036625862122,5,2.5,40,0.49382716049382713,20,0.24691358024691357,unknown,,
01959,0,val,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01959.mp4,0.7708702683448792,0.5287069796044149,0.6722942590713501,81,18,0.2222222222222222,21.0,31.0,0.7708702683448792,0.2740972340106964,0.4967730343341827,4,3.0,49,0.6049382716049383,18,0.2222222222222222,unknown,,
01072,0,val,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01072.mp4,0.8155674934387207,0.5275101832237589,0.6831354856491089,83,16,0.1927710843373494,3.5,22.0,0.8155674934387207,0.1964884549379348,0.619079053401947,8,2.0,50,0.6024096385542169,16,0.1927710843373494,unknown,,
01711,0,val,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01711.mp4,0.7333558797836304,0.5031309672343878,0.6869832277297974,81,14,0.1728395061728395,11.0,21.5,0.7333558797836304,0.1655609756708145,0.567794919013977,4,4.5,42,0.5185185185185185,14,0.1728395061728395,unknown,,
01704,0,val,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01704.mp4,0.7683917284011841,0.487342557311058,0.6620051085948945,80,13,0.1625,3.5,13.5,0.7683917284011841,0.1583188474178314,0.6100728511810303,6,1.5,42,0.525,13,0.1625,unknown,,
01717,0,val,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01717.mp4,0.7310615181922913,0.47725618032761563,0.6559004187583923,81,12,0.14814814814814814,0.0,3.0,0.7310615181922913,0.0852737799286842,0.6457877159118652,4,3.0,43,0.5308641975308642,12,0.14814814814814814,unknown,,
01075,0,val,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01075.mp4,0.7244508266448975,0.4796019700574286,0.6451717615127563,81,10,0.12345679012345678,0.0,22.5,0.7244508266448975,0.2180009186267852,0.5064499378204346,3,2.5,44,0.5432098765432098,10,0.12345679012345678,unknown,,
01236,0,val,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01236.mp4,0.7625178694725037,0.5093444596838068,0.640838086605072,81,9,0.1111111111111111,3.0,7.0,0.7625178694725037,0.2356426268815994,0.5268752574920654,5,1.0,42,0.5185185185185185,9,0.1111111111111111,unknown,,
01807,0,val,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01807.mp4,0.7037594318389893,0.46530960040327946,0.6412867903709412,81,9,0.1111111111111111,18.0,20.0,0.7037594318389893,0.1710405945777893,0.5327188372612,5,1.0,33,0.4074074074074074,9,0.1111111111111111,unknown,,
01420,0,val,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01420.mp4,0.6898657083511353,0.5021768014926415,0.6481502532958985,77,9,0.11688311688311688,14.5,23.0,0.6898657083511353,0.1856825053691864,0.5041831731796265,6,1.5,39,0.5064935064935064,9,0.11688311688311688,unknown,,
01673,0,val,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\01673.mp4,0.7417290210723877,0.4918873135322406,0.6305543184280396,81,8,0.09876543209876543,14.0,22.5,0.7417290210723877,0.1708615720272064,0.5708674788475037,3,2.0,38,0.4691358024691358,8,0.09876543209876543,unknown,,
