threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,17.633348214285714,18.802500000000002,-15.973214285714286,-17.200000000000003
0.11,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,17.633348214285714,18.802500000000002,-15.973214285714286,-17.200000000000003
0.12,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,17.633348214285714,18.802500000000002,-15.973214285714286,-17.200000000000003
0.13,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,17.633348214285714,18.802500000000002,-15.973214285714286,-17.200000000000003
0.14,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,17.633348214285714,18.802500000000002,-15.973214285714286,-17.200000000000003
0.15,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,17.633348214285714,18.802500000000002,-15.973214285714286,-17.200000000000003
0.16,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,17.633348214285714,18.802500000000002,-15.973214285714286,-17.200000000000003
0.17,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,17.615491071428572,18.802500000000002,-15.955357142857142,-17.200000000000003
0.18,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,17.615491071428572,18.802500000000002,-15.955357142857142,-17.200000000000003
0.19,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,17.615491071428572,18.802500000000002,-15.955357142857142,-17.200000000000003
0.2,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,17.615491071428572,18.802500000000002,-15.955357142857142,-17.200000000000003
0.21,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,17.615491071428572,18.802500000000002,-15.955357142857142,-17.200000000000003
0.22,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,17.615491071428572,18.802500000000002,-15.955357142857142,-17.200000000000003
0.23,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,17.615491071428572,18.802500000000002,-15.955357142857142,-17.200000000000003
0.24,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,17.588705357142857,18.783,-15.928571428571429,-17.136499999999998
0.25,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,17.570848214285714,18.725,-15.910714285714286,-17.116500000000002
0.26,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,17.43691964285714,18.725,-15.776785714285714,-17.116500000000002
