threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.11,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.12,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.13,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.14,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.15,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.16,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.17,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.18,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.19,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.2,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.21,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.22,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.23,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.633348214285714,19.802500000000002,-16.973214285714285,-18.200000000000003
0.24,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.62441964285714,19.7915,-16.964285714285715,-18.1535
0.25,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.62441964285714,19.7915,-16.964285714285715,-18.1535
0.26,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.6065625,19.7915,-16.946428571428573,-18.1535
0.27,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.6065625,19.7915,-16.946428571428573,-18.1535
0.28,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.6065625,19.7915,-16.946428571428573,-18.1535
0.29,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.59763392857143,19.7915,-16.9375,-18.1535
0.3,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.579776785714284,19.783,-16.919642857142858,-18.136499999999998
0.31,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.570848214285714,19.783,-16.910714285714285,-18.136499999999998
0.32,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.552991071428572,19.783,-16.892857142857142,-18.136499999999998
0.33,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.47263392857143,19.667,-16.8125,-18.05
0.34,224,112,112,224,112,112,0,0.5,1.0,1.0,0.0,18.392276785714284,19.619500000000002,-16.732142857142858,-17.984
0.35,224,112,112,223,112,111,0,0.5022421524663677,1.0,0.9910714285714286,0.0,18.302991071428572,19.552500000000002,-16.642857142857142,-17.984
0.36,224,112,112,222,112,110,0,0.5045045045045045,1.0,0.9821428571428571,0.0,18.213705357142857,19.500500000000002,-16.553571428571427,-17.921
0.37,224,112,112,222,112,110,0,0.5045045045045045,1.0,0.9821428571428571,0.0,18.115491071428572,19.45,-16.455357142857142,-17.8335
0.38,224,112,112,220,111,109,1,0.5045454545454545,0.9910714285714286,0.9732142857142857,0.008928571428571428,18.182666666666663,19.467,-16.52468468468469,-17.867
0.39,224,112,112,219,111,108,1,0.5068493150684932,0.9910714285714286,0.9642857142857143,0.008928571428571428,18.182666666666663,19.467,-16.52468468468469,-17.867
0.4,224,112,112,218,111,107,1,0.5091743119266054,0.9910714285714286,0.9553571428571429,0.008928571428571428,18.173657657657653,19.467,-16.51567567567568,-17.867
0.41,224,112,112,218,111,107,1,0.5091743119266054,0.9910714285714286,0.9553571428571429,0.008928571428571428,18.065549549549544,19.405,-16.407567567567572,-17.7
0.42,224,112,112,217,111,106,1,0.511520737327189,0.9910714285714286,0.9464285714285714,0.008928571428571428,17.93942342342342,19.367,-16.281441441441444,-17.633
0.43,224,112,112,217,111,106,1,0.511520737327189,0.9910714285714286,0.9464285714285714,0.008928571428571428,17.67816216216216,19.3,-16.020180180180184,-17.611
0.44,224,112,112,215,109,104,3,0.5117370892018779,0.9732142857142857,0.9285714285714286,0.026785714285714284,17.744174311926606,19.3,-16.08022018348624,-17.611
0.45,224,112,112,213,108,102,4,0.5142857142857142,0.9642857142857143,0.9107142857142857,0.03571428571428571,17.641805555555553,19.275,-15.967694444444446,-17.5785
0.46,224,112,112,213,107,102,5,0.5119617224880383,0.9553571428571429,0.9107142857142857,0.044642857142857144,17.548140186915887,19.3,-15.863672897196262,-17.417
0.47,224,112,112,212,107,101,5,0.5144230769230769,0.9553571428571429,0.9017857142857143,0.044642857142857144,17.39860747663551,19.25,-15.714140186915888,-17.4
0.48,224,112,112,209,107,98,5,0.5219512195121951,0.9553571428571429,0.875,0.044642857142857144,17.267766355140186,19.183,-15.583299065420562,-17.29
0.49,224,112,112,208,106,97,6,0.5221674876847291,0.9464285714285714,0.8660714285714286,0.05357142857142857,17.25888679245283,19.1585,-15.567462264150944,-17.2855
0.5,224,112,112,207,105,97,7,0.5198019801980198,0.9375,0.8660714285714286,0.0625,17.13849523809524,19.15,-15.438895238095236,-17.167
0.51,224,112,112,207,105,97,7,0.5198019801980198,0.9375,0.8660714285714286,0.0625,16.862304761904763,19.1,-15.16270476190476,-16.9
0.52,224,112,112,207,105,97,7,0.5198019801980198,0.9375,0.8660714285714286,0.0625,16.586114285714288,19.067,-14.886514285714284,-16.727
0.53,224,112,112,204,103,96,9,0.5175879396984925,0.9196428571428571,0.8571428571428571,0.08035714285714286,16.02340776699029,18.967,-14.326077669902917,-16.667
0.54,224,112,112,201,100,93,12,0.5181347150259067,0.8928571428571429,0.8303571428571429,0.10714285714285714,15.51797,18.5865,-13.815300000000002,-16.4945
0.55,224,112,112,198,99,91,13,0.5210526315789473,0.8839285714285714,0.8125,0.11607142857142858,15.034060606060605,18.233,-13.331686868686868,-16.433
0.56,224,112,112,194,95,89,17,0.5163043478260869,0.8482142857142857,0.7946428571428571,0.15178571428571427,15.029399999999997,18.045,-13.318168421052633,-16.414
0.57,224,112,112,191,94,88,18,0.5164835164835165,0.8392857142857143,0.7857142857142857,0.16071428571428573,14.956308510638296,17.883499999999998,-13.241414893617023,-16.207
0.58,224,112,112,184,91,83,21,0.5229885057471264,0.8125,0.7410714285714286,0.1875,14.623967032967032,17.624,-12.89454945054945,-15.899999999999999
0.59,224,112,112,179,89,80,23,0.5266272189349113,0.7946428571428571,0.7142857142857143,0.20535714285714285,14.338449438202248,17.624,-12.594134831460673,-15.651
0.6,224,112,112,177,86,79,26,0.5212121212121212,0.7678571428571429,0.7053571428571429,0.23214285714285715,14.525069767441858,17.52,-12.747418604651166,-15.248
0.61,224,112,112,171,84,76,28,0.525,0.75,0.6785714285714286,0.25,14.363571428571428,17.134,-12.590714285714284,-14.823
0.62,224,112,112,168,80,75,32,0.5161290322580645,0.7142857142857143,0.6696428571428571,0.2857142857142857,13.656150000000002,15.45,-11.878975,-14.104999999999999
