threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,222,112,110,0,0.5045045045045045,1.0,0.9821428571428571,0.0,17.874419642857145,19.474,-16.214285714285715,-17.75
0.11,224,112,112,222,112,110,0,0.5045045045045045,1.0,0.9821428571428571,0.0,17.83870535714286,19.474,-16.178571428571427,-17.75
0.12,224,112,112,222,112,110,0,0.5045045045045045,1.0,0.9821428571428571,0.0,17.77620535714286,19.474,-16.116071428571427,-17.75
0.13,224,112,112,221,112,109,0,0.5067873303167421,1.0,0.9732142857142857,0.0,17.749419642857145,19.474,-16.089285714285715,-17.73
0.14,224,112,112,221,112,109,0,0.5067873303167421,1.0,0.9732142857142857,0.0,17.695848214285714,19.474,-16.035714285714285,-17.7135
0.15,224,112,112,221,112,109,0,0.5067873303167421,1.0,0.9732142857142857,0.0,17.642276785714287,19.45,-15.982142857142858,-17.7135
0.16,224,112,112,220,112,108,0,0.509090909090909,1.0,0.9642857142857143,0.0,17.606562500000003,19.45,-15.946428571428571,-17.7135
0.17,224,112,112,219,112,107,0,0.5114155251141552,1.0,0.9553571428571429,0.0,17.240491071428572,19.4315,-15.580357142857142,-17.667
0.18,224,112,112,217,112,105,0,0.5161290322580645,1.0,0.9375,0.0,17.133348214285714,19.4175,-15.473214285714286,-17.652
0.19,224,112,112,217,112,105,0,0.5161290322580645,1.0,0.9375,0.0,17.12441964285714,19.4175,-15.464285714285714,-17.652
0.2,224,112,112,217,112,105,0,0.5161290322580645,1.0,0.9375,0.0,17.017276785714284,19.4175,-15.357142857142858,-17.652
0.21,224,112,112,217,112,105,0,0.5161290322580645,1.0,0.9375,0.0,16.8565625,19.4175,-15.196428571428571,-17.425
0.22,224,112,112,217,112,105,0,0.5161290322580645,1.0,0.9375,0.0,16.820848214285714,19.386000000000003,-15.160714285714286,-17.425
0.23,224,112,112,217,112,105,0,0.5161290322580645,1.0,0.9375,0.0,16.820848214285714,19.386000000000003,-15.160714285714286,-17.425
0.24,224,112,112,216,112,104,0,0.5185185185185185,1.0,0.9285714285714286,0.0,16.72263392857143,19.386000000000003,-15.0625,-17.4085
