threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,220,112,108,0,0.509090909090909,1.0,0.9642857142857143,0.0,17.71370535714286,19.474,-16.053571428571427,-17.75
0.11,224,112,112,220,112,108,0,0.509090909090909,1.0,0.9642857142857143,0.0,17.669062500000003,19.474,-16.008928571428573,-17.75
0.12,224,112,112,219,112,107,0,0.5114155251141552,1.0,0.9553571428571429,0.0,17.65120535714286,19.474,-15.991071428571429,-17.75
0.13,224,112,112,219,112,107,0,0.5114155251141552,1.0,0.9553571428571429,0.0,17.606562500000003,19.474,-15.946428571428571,-17.73
0.14,224,112,112,216,112,104,0,0.5185185185185185,1.0,0.9285714285714286,0.0,17.570848214285714,19.474,-15.910714285714286,-17.7135
0.15,224,112,112,215,111,104,1,0.5162790697674419,0.9910714285714286,0.9285714285714286,0.008928571428571428,17.50699099099099,19.467,-15.849009009009013,-17.7
0.16,224,112,112,214,111,103,1,0.5186915887850467,0.9910714285714286,0.9196428571428571,0.008928571428571428,17.434918918918914,19.467,-15.776936936936941,-17.7
0.17,224,112,112,213,109,102,3,0.5165876777251185,0.9732142857142857,0.9107142857142857,0.026785714285714284,17.380036697247707,19.467,-15.702110091743121,-17.637
0.18,224,112,112,212,108,102,4,0.5142857142857142,0.9642857142857143,0.9107142857142857,0.03571428571428571,17.211583333333333,19.45,-15.545638888888892,-17.634999999999998
0.19,224,112,112,210,108,100,4,0.5192307692307693,0.9642857142857143,0.8928571428571429,0.03571428571428571,17.081953703703704,19.45,-15.416009259259262,-17.634999999999998
0.2,224,112,112,210,108,100,4,0.5192307692307693,0.9642857142857143,0.8928571428571429,0.03571428571428571,16.906027777777776,19.45,-15.240083333333336,-17.634999999999998
0.21,224,112,112,210,108,100,4,0.5192307692307693,0.9642857142857143,0.8928571428571429,0.03571428571428571,16.878249999999998,19.45,-15.212305555555558,-17.425
0.22,224,112,112,209,108,99,4,0.5217391304347826,0.9642857142857143,0.8839285714285714,0.03571428571428571,16.850472222222223,19.419,-15.184527777777781,-17.425
0.23,224,112,112,209,108,99,4,0.5217391304347826,0.9642857142857143,0.8839285714285714,0.03571428571428571,16.804175925925925,19.419,-15.138231481481485,-17.425
0.24,224,112,112,209,108,99,4,0.5217391304347826,0.9642857142857143,0.8839285714285714,0.03571428571428571,16.748620370370368,19.419,-15.082675925925928,-17.425
0.25,224,112,112,209,106,99,6,0.5170731707317073,0.9464285714285714,0.8839285714285714,0.05357142857142857,16.82995283018868,19.419,-15.149377358490566,-17.425
0.26,224,112,112,209,106,99,6,0.5170731707317073,0.9464285714285714,0.8839285714285714,0.05357142857142857,16.81108490566038,19.419,-15.130509433962265,-17.425
0.27,224,112,112,208,106,98,6,0.5196078431372549,0.9464285714285714,0.875,0.05357142857142857,16.763915094339623,19.419,-15.08333962264151,-17.425
0.28,224,112,112,208,106,98,6,0.5196078431372549,0.9464285714285714,0.875,0.05357142857142857,16.754481132075473,19.419,-15.07390566037736,-17.425
0.29,224,112,112,208,105,98,7,0.5172413793103449,0.9375,0.875,0.0625,16.54357142857143,19.367,-14.85587619047619,-17.417
0.3,224,112,112,207,103,98,9,0.5124378109452736,0.9196428571428571,0.875,0.08035714285714286,16.783970873786405,19.367,-15.073533980582527,-17.417
0.31,224,112,112,206,103,97,9,0.515,0.9196428571428571,0.8660714285714286,0.08035714285714286,16.71600970873786,19.364,-15.005572815533984,-17.367
