threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,220,110,108,2,0.5045871559633027,0.9821428571428571,0.9642857142857143,0.017857142857142856,16.99023636363636,18.500500000000002,-15.31368181818182,-16.75
0.11,224,112,112,219,109,107,3,0.5046296296296297,0.9732142857142857,0.9553571428571429,0.026785714285714284,16.916275229357797,18.481,-15.229614678899084,-16.733
0.12,224,112,112,217,109,105,3,0.5093457943925234,0.9732142857142857,0.9375,0.026785714285714284,16.778660550458714,18.467,-15.092000000000002,-16.727
0.13,224,112,112,216,109,104,3,0.5117370892018779,0.9732142857142857,0.9285714285714286,0.026785714285714284,16.751137614678896,18.467,-15.064477064220187,-16.727
0.14,224,112,112,214,108,103,4,0.5118483412322274,0.9642857142857143,0.9196428571428571,0.03571428571428571,16.65013888888889,18.474,-14.965444444444447,-16.7135
0.15,224,112,112,213,107,102,5,0.5119617224880383,0.9553571428571429,0.9107142857142857,0.044642857142857144,16.644065420560747,18.481,-14.957953271028039,-16.7
0.16,224,112,112,212,106,102,6,0.5096153846153846,0.9464285714285714,0.9107142857142857,0.05357142857142857,16.625867924528304,18.500500000000002,-14.951886792452829,-16.7135
0.17,224,112,112,212,104,102,8,0.5048543689320388,0.9285714285714286,0.9107142857142857,0.07142857142857142,16.73214423076923,18.5265,-15.05289423076923,-16.7135
0.18,224,112,112,212,104,102,8,0.5048543689320388,0.9285714285714286,0.9107142857142857,0.07142857142857142,16.55906730769231,18.474,-14.879817307692308,-16.652
0.19,224,112,112,209,104,99,8,0.5123152709359606,0.9285714285714286,0.8839285714285714,0.07142857142857142,16.43406730769231,18.474,-14.754817307692308,-16.652
0.2,224,112,112,209,104,99,8,0.5123152709359606,0.9285714285714286,0.8839285714285714,0.07142857142857142,16.43406730769231,18.474,-14.754817307692308,-16.652
0.21,224,112,112,209,103,99,9,0.5099009900990099,0.9196428571428571,0.8839285714285714,0.08035714285714286,16.451223300970874,18.467,-14.763766990291266,-16.633
0.22,224,112,112,209,101,99,11,0.505,0.9017857142857143,0.8839285714285714,0.09821428571428571,16.52388118811881,18.433,-14.817851485148516,-16.483
0.23,224,112,112,209,101,99,11,0.505,0.9017857142857143,0.8839285714285714,0.09821428571428571,16.44467326732673,18.405,-14.738643564356437,-16.483
0.24,224,112,112,208,101,98,11,0.507537688442211,0.9017857142857143,0.875,0.09821428571428571,16.276356435643564,18.364,-14.570326732673268,-16.417
0.25,224,112,112,207,100,97,12,0.5076142131979695,0.8928571428571429,0.8660714285714286,0.10714285714285714,16.31134,18.3655,-14.62528,-16.425
0.26,224,112,112,207,100,97,12,0.5076142131979695,0.8928571428571429,0.8660714285714286,0.10714285714285714,16.17134,18.3655,-14.485280000000003,-16.425
0.27,224,112,112,205,99,96,13,0.5076923076923077,0.8839285714285714,0.8571428571428571,0.11607142857142858,16.2899797979798,18.367,-14.588909090909093,-16.433
0.28,224,112,112,204,99,95,13,0.5103092783505154,0.8839285714285714,0.8482142857142857,0.11607142857142858,16.25967676767677,18.364,-14.558606060606062,-16.417
0.29,224,112,112,204,99,95,13,0.5103092783505154,0.8839285714285714,0.8482142857142857,0.11607142857142858,16.219272727272728,18.364,-14.518202020202022,-16.417
0.3,224,112,112,202,97,94,15,0.5078534031413613,0.8660714285714286,0.8392857142857143,0.13392857142857142,16.18014432989691,18.367,-14.467381443298969,-16.433
0.31,224,112,112,199,95,92,17,0.5080213903743316,0.8482142857142857,0.8214285714285714,0.15178571428571427,16.18645263157895,18.367,-14.463936842105266,-16.417
0.32,224,112,112,198,95,91,17,0.510752688172043,0.8482142857142857,0.8125,0.15178571428571427,16.039084210526315,18.364,-14.316568421052635,-16.4
0.33,224,112,112,198,95,91,17,0.510752688172043,0.8482142857142857,0.8125,0.15178571428571427,15.933821052631579,18.364,-14.211305263157898,-16.352
0.34,224,112,112,197,95,91,17,0.510752688172043,0.8482142857142857,0.8125,0.15178571428571427,15.902242105263158,18.364,-14.179726315789477,-16.29
0.35,224,112,112,196,95,90,17,0.5135135135135135,0.8482142857142857,0.8035714285714286,0.15178571428571427,15.712768421052631,18.25,-13.99025263157895,-16.233
0.36,224,112,112,192,95,87,17,0.521978021978022,0.8482142857142857,0.7767857142857143,0.15178571428571427,15.502242105263157,18.247,-13.779726315789476,-15.975000000000001
0.37,224,112,112,189,95,84,17,0.5307262569832403,0.8482142857142857,0.75,0.15178571428571427,15.3654,18.133,-13.642884210526319,-15.975000000000001
0.38,224,112,112,186,94,83,18,0.5310734463276836,0.8392857142857143,0.7410714285714286,0.16071428571428573,15.399414893617019,18.183,-13.666414893617027,-16.071
0.39,224,112,112,185,92,82,20,0.5287356321839081,0.8214285714285714,0.7321428571428571,0.17857142857142858,15.157923913043478,18.183,-13.420032608695655,-16.071
0.4,224,112,112,182,92,79,20,0.5380116959064327,0.8214285714285714,0.7053571428571429,0.17857142857142858,14.91879347826087,18.119999999999997,-13.180902173913045,-15.9715
0.41,224,112,112,181,91,78,21,0.5384615384615384,0.8125,0.6964285714285714,0.1875,14.804395604395602,18.107,-13.080802197802198,-15.785
0.42,224,112,112,176,91,74,21,0.5515151515151515,0.8125,0.6607142857142857,0.1875,14.694505494505492,18.067,-12.970912087912088,-15.785
0.43,224,112,112,172,89,71,23,0.55625,0.7946428571428571,0.6339285714285714,0.20535714285714285,14.625101123595508,18.067,-12.912213483146067,-15.785
0.44,224,112,112,168,88,69,24,0.5605095541401274,0.7857142857142857,0.6160714285714286,0.21428571428571427,14.493943181818183,18.087,-12.789625000000001,-15.672
0.45,224,112,112,164,87,68,25,0.5612903225806452,0.7767857142857143,0.6071428571428571,0.22321428571428573,14.314816091954022,18.045,-12.601114942528737,-15.733
