threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,100,50,50,92,48,44,2,0.5217391304347826,0.96,0.88,0.04,19.2733125,19.7845,-17.73375,-18.200000000000003
0.11,100,50,50,92,48,44,2,0.5217391304347826,0.96,0.88,0.04,19.2733125,19.7845,-17.73375,-18.200000000000003
0.12,100,50,50,92,48,44,2,0.5217391304347826,0.96,0.88,0.04,19.2733125,19.7845,-17.73375,-18.200000000000003
0.13,100,50,50,92,48,44,2,0.5217391304347826,0.96,0.88,0.04,19.10664583333333,19.6665,-17.567083333333333,-17.7075
0.14,100,50,50,92,48,44,2,0.5217391304347826,0.96,0.88,0.04,18.98164583333333,19.655,-17.442083333333333,-17.6785
0.15,100,50,50,92,48,44,2,0.5217391304347826,0.96,0.88,0.04,18.939979166666664,19.655,-17.40041666666667,-17.6785
0.16,100,50,50,92,48,44,2,0.5217391304347826,0.96,0.88,0.04,18.752479166666664,19.655,-17.21291666666667,-17.651
0.17,100,50,50,92,48,44,2,0.5217391304347826,0.96,0.88,0.04,18.6483125,19.655,-17.10875,-17.622500000000002
0.18,100,50,50,92,48,44,2,0.5217391304347826,0.96,0.88,0.04,18.54414583333333,19.655,-17.004583333333333,-17.622500000000002
0.19,100,50,50,92,48,44,2,0.5217391304347826,0.96,0.88,0.04,18.54414583333333,19.655,-17.004583333333333,-17.622500000000002
0.2,100,50,50,92,48,44,2,0.5217391304347826,0.96,0.88,0.04,18.4608125,19.655,-16.92125,-17.622500000000002
0.21,100,50,50,91,48,43,2,0.5274725274725275,0.96,0.86,0.04,18.3983125,19.6055,-16.85875,-17.622500000000002
0.22,100,50,50,91,48,43,2,0.5274725274725275,0.96,0.86,0.04,18.377479166666664,19.6055,-16.83791666666667,-17.5595
0.23,100,50,50,90,48,42,2,0.5333333333333333,0.96,0.84,0.04,18.35664583333333,19.6055,-16.817083333333333,-17.5595
0.24,100,50,50,90,48,42,2,0.5333333333333333,0.96,0.84,0.04,18.252479166666664,19.6055,-16.71291666666667,-17.5595
0.25,100,50,50,90,48,42,2,0.5333333333333333,0.96,0.84,0.04,18.189979166666664,19.6055,-16.65041666666667,-17.5595
0.26,100,50,50,89,48,41,2,0.5393258426966292,0.96,0.82,0.04,18.002479166666664,19.346,-16.46291666666667,-17.4635
0.27,100,50,50,89,48,41,2,0.5393258426966292,0.96,0.82,0.04,17.66914583333333,19.346,-16.129583333333333,-17.4635
0.28,100,50,50,88,48,40,2,0.5454545454545454,0.96,0.8,0.04,17.35664583333333,19.346,-15.817083333333334,-17.4535
0.29,100,50,50,88,48,40,2,0.5454545454545454,0.96,0.8,0.04,17.189979166666664,19.346,-15.650416666666667,-17.4535
0.3,100,50,50,88,48,40,2,0.5454545454545454,0.96,0.8,0.04,16.939979166666664,19.243000000000002,-15.400416666666667,-17.4075
0.31,100,50,50,88,48,40,2,0.5454545454545454,0.96,0.8,0.04,16.8983125,19.215,-15.35875,-17.4075
0.32,100,50,50,88,48,40,2,0.5454545454545454,0.96,0.8,0.04,16.814979166666664,19.215,-15.275416666666667,-17.4075
0.33,100,50,50,87,48,39,2,0.5517241379310345,0.96,0.78,0.04,16.54414583333333,19.0865,-15.004583333333334,-17.3745
0.34,100,50,50,86,48,38,2,0.5581395348837209,0.96,0.76,0.04,16.2733125,18.8155,-14.73375,-17.317
0.35,100,50,50,86,48,38,2,0.5581395348837209,0.96,0.76,0.04,16.2108125,18.8155,-14.67125,-17.317
0.36,100,50,50,86,48,38,2,0.5581395348837209,0.96,0.76,0.04,16.189979166666664,18.8155,-14.650416666666667,-17.317
0.37,100,50,50,86,48,38,2,0.5581395348837209,0.96,0.76,0.04,15.960812499999998,18.8155,-14.42125,-17.317
0.38,100,50,50,85,48,37,2,0.5647058823529412,0.96,0.74,0.04,15.856645833333332,18.3035,-14.317083333333334,-17.1465
0.39,100,50,50,84,48,36,2,0.5714285714285714,0.96,0.72,0.04,15.856645833333332,18.3035,-14.317083333333334,-17.1465
0.4,100,50,50,84,48,36,2,0.5714285714285714,0.96,0.72,0.04,15.252479166666665,17.7295,-13.712916666666667,-16.5
