threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,20,10,10,12,6,4,4,0.6,0.6,0.4,0.4,14.1175,14.017,-12.338166666666666,-12.1005
0.11,20,10,10,12,6,4,4,0.6,0.6,0.4,0.4,14.1175,14.017,-12.338166666666666,-12.1005
0.12,20,10,10,12,6,4,4,0.6,0.6,0.4,0.4,14.1175,14.017,-12.338166666666666,-12.1005
0.13,20,10,10,11,5,4,5,0.5555555555555556,0.5,0.4,0.5,14.4556,14.431999999999999,-12.516399999999999,-12.544
0.14,20,10,10,11,5,4,5,0.5555555555555556,0.5,0.4,0.5,14.055600000000002,13.602,-12.116399999999999,-12.033000000000001
0.15,20,10,10,11,5,4,5,0.5555555555555556,0.5,0.4,0.5,14.055600000000002,13.602,-12.116399999999999,-12.033000000000001
0.16,20,10,10,10,5,3,5,0.625,0.5,0.3,0.5,14.055600000000002,13.602,-12.116399999999999,-12.033000000000001
0.17,20,10,10,10,5,3,5,0.625,0.5,0.3,0.5,14.055600000000002,13.602,-12.116399999999999,-12.033000000000001
0.18,20,10,10,10,5,3,5,0.625,0.5,0.3,0.5,13.8556,13.602,-11.9164,-11.657
0.19,20,10,10,10,5,3,5,0.625,0.5,0.3,0.5,13.8556,13.602,-11.9164,-11.657
0.2,20,10,10,10,5,3,5,0.625,0.5,0.3,0.5,13.8556,13.602,-11.9164,-11.657
0.21,20,10,10,10,5,3,5,0.625,0.5,0.3,0.5,13.8556,13.602,-11.9164,-11.657
0.22,20,10,10,9,5,3,5,0.625,0.5,0.3,0.5,13.8556,13.602,-11.9164,-11.657
0.23,20,10,10,9,5,3,5,0.625,0.5,0.3,0.5,13.8556,13.602,-11.9164,-11.657
0.24,20,10,10,9,4,3,6,0.5714285714285714,0.4,0.3,0.6,14.9085,14.017,-12.966750000000001,-12.1005
0.25,20,10,10,9,4,3,6,0.5714285714285714,0.4,0.3,0.6,14.9085,14.017,-12.966750000000001,-12.1005
0.26,20,10,10,9,4,3,6,0.5714285714285714,0.4,0.3,0.6,14.1585,12.9995,-12.216750000000001,-11.345
0.27,20,10,10,9,4,3,6,0.5714285714285714,0.4,0.3,0.6,14.1585,12.9995,-12.216750000000001,-11.345
0.28,20,10,10,9,4,3,6,0.5714285714285714,0.4,0.3,0.6,14.1585,12.9995,-12.216750000000001,-11.345
0.29,20,10,10,9,4,3,6,0.5714285714285714,0.4,0.3,0.6,14.1585,12.9995,-12.216750000000001,-11.345
0.3,20,10,10,9,4,3,6,0.5714285714285714,0.4,0.3,0.6,14.1585,12.9995,-12.216750000000001,-11.345
0.31,20,10,10,9,4,3,6,0.5714285714285714,0.4,0.3,0.6,14.1585,12.9995,-12.216750000000001,-11.345
0.32,20,10,10,9,4,3,6,0.5714285714285714,0.4,0.3,0.6,13.9085,12.9995,-11.966750000000001,-11.345
0.33,20,10,10,9,4,3,6,0.5714285714285714,0.4,0.3,0.6,13.9085,12.9995,-11.966750000000001,-11.345
0.34,20,10,10,9,4,3,6,0.5714285714285714,0.4,0.3,0.6,13.9085,12.9995,-11.966750000000001,-11.345
0.35,20,10,10,8,3,3,7,0.5,0.3,0.3,0.7,15.344000000000001,14.431999999999999,-13.107666666666667,-11.657
0.36,20,10,10,8,3,3,7,0.5,0.3,0.3,0.7,15.344000000000001,14.431999999999999,-13.107666666666667,-11.657
0.37,20,10,10,8,3,3,7,0.5,0.3,0.3,0.7,15.344000000000001,14.431999999999999,-13.107666666666667,-11.657
0.38,20,10,10,8,3,3,7,0.5,0.3,0.3,0.7,15.344000000000001,14.431999999999999,-13.107666666666667,-11.657
0.39,20,10,10,8,3,3,7,0.5,0.3,0.3,0.7,15.344000000000001,14.431999999999999,-13.107666666666667,-11.657
0.4,20,10,10,8,3,3,7,0.5,0.3,0.3,0.7,15.344000000000001,14.431999999999999,-13.107666666666667,-11.657
0.41,20,10,10,8,3,3,7,0.5,0.3,0.3,0.7,15.344000000000001,14.431999999999999,-13.107666666666667,-11.657
0.42,20,10,10,8,3,3,7,0.5,0.3,0.3,0.7,15.344000000000001,14.431999999999999,-13.107666666666667,-11.657
0.43,20,10,10,8,3,3,7,0.5,0.3,0.3,0.7,15.344000000000001,14.431999999999999,-13.107666666666667,-11.657
0.44,20,10,10,8,3,3,7,0.5,0.3,0.3,0.7,15.344000000000001,14.431999999999999,-13.107666666666667,-11.657
0.45,20,10,10,8,3,3,7,0.5,0.3,0.3,0.7,15.344000000000001,14.431999999999999,-13.107666666666667,-11.657
0.46,20,10,10,8,3,3,7,0.5,0.3,0.3,0.7,12.010666666666665,11.567,-9.774333333333333,-11.033000000000001
0.47,20,10,10,8,3,3,7,0.5,0.3,0.3,0.7,12.010666666666665,11.567,-9.774333333333333,-11.033000000000001
0.48,20,10,10,8,3,3,7,0.5,0.3,0.3,0.7,12.010666666666665,11.567,-9.774333333333333,-11.033000000000001
0.49,20,10,10,8,3,3,7,0.5,0.3,0.3,0.7,12.010666666666665,11.567,-9.774333333333333,-11.033000000000001
0.5,20,10,10,8,3,3,7,0.5,0.3,0.3,0.7,12.010666666666665,11.567,-9.774333333333333,-11.033000000000001
0.51,20,10,10,8,3,3,7,0.5,0.3,0.3,0.7,12.010666666666665,11.567,-9.774333333333333,-11.033000000000001
0.52,20,10,10,8,3,3,7,0.5,0.3,0.3,0.7,12.010666666666665,11.567,-9.774333333333333,-11.033000000000001
0.53,20,10,10,8,3,3,7,0.5,0.3,0.3,0.7,12.010666666666665,11.567,-9.774333333333333,-11.033000000000001
0.54,20,10,10,6,3,2,7,0.6,0.3,0.2,0.7,12.010666666666665,11.567,-9.774333333333333,-11.033000000000001
0.55,20,10,10,6,3,2,7,0.6,0.3,0.2,0.7,12.010666666666665,11.567,-9.774333333333333,-11.033000000000001
0.56,20,10,10,6,3,2,7,0.6,0.3,0.2,0.7,12.010666666666665,11.567,-9.774333333333333,-11.033000000000001
0.57,20,10,10,6,3,2,7,0.6,0.3,0.2,0.7,12.010666666666665,11.567,-9.774333333333333,-11.033000000000001
0.58,20,10,10,5,2,2,8,0.5,0.2,0.2,0.8,15.8,15.8,-13.833,-13.833
0.59,20,10,10,4,2,2,8,0.5,0.2,0.2,0.8,15.8,15.8,-13.833,-13.833
0.6,20,10,10,4,2,2,8,0.5,0.2,0.2,0.8,15.8,15.8,-13.833,-13.833
0.61,20,10,10,4,2,2,8,0.5,0.2,0.2,0.8,15.8,15.8,-13.833,-13.833
0.62,20,10,10,4,2,2,8,0.5,0.2,0.2,0.8,15.8,15.8,-13.833,-13.833
0.63,20,10,10,4,2,2,8,0.5,0.2,0.2,0.8,15.8,15.8,-13.833,-13.833
0.64,20,10,10,4,2,2,8,0.5,0.2,0.2,0.8,15.3,15.3,-13.333,-13.333
0.65,20,10,10,4,2,2,8,0.5,0.2,0.2,0.8,15.3,15.3,-13.333,-13.333
0.66,20,10,10,4,2,2,8,0.5,0.2,0.2,0.8,15.3,15.3,-13.333,-13.333
0.67,20,10,10,4,2,2,8,0.5,0.2,0.2,0.8,15.3,15.3,-13.333,-13.333
0.68,20,10,10,4,2,2,8,0.5,0.2,0.2,0.8,15.3,15.3,-13.333,-13.333
0.69,20,10,10,4,2,2,8,0.5,0.2,0.2,0.8,15.3,15.3,-13.333,-13.333
0.7,20,10,10,4,2,2,8,0.5,0.2,0.2,0.8,15.3,15.3,-13.333,-13.333
0.71,20,10,10,4,2,2,8,0.5,0.2,0.2,0.8,15.3,15.3,-13.333,-13.333
0.72,20,10,10,4,2,2,8,0.5,0.2,0.2,0.8,14.3,14.3,-12.333,-12.333
0.73,20,10,10,4,2,2,8,0.5,0.2,0.2,0.8,14.3,14.3,-12.333,-12.333
0.74,20,10,10,3,2,1,8,0.6666666666666666,0.2,0.1,0.8,14.3,14.3,-12.333,-12.333
0.75,20,10,10,3,2,1,8,0.6666666666666666,0.2,0.1,0.8,14.3,14.3,-12.333,-12.333
0.76,20,10,10,3,2,1,8,0.6666666666666666,0.2,0.1,0.8,13.8,13.8,-11.833,-11.833
