threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,20,10,10,18,8,9,2,0.47058823529411764,0.8,0.9,0.2,14.38325,13.7995,-12.241375,-11.552
0.11,20,10,10,17,8,8,2,0.5,0.8,0.8,0.2,14.38325,13.7995,-12.241375,-11.552
0.12,20,10,10,16,8,7,2,0.5333333333333333,0.8,0.7,0.2,14.38325,13.7995,-12.241375,-11.552
0.13,20,10,10,16,8,7,2,0.5333333333333333,0.8,0.7,0.2,14.38325,13.7995,-12.241375,-11.552
0.14,20,10,10,16,8,7,2,0.5333333333333333,0.8,0.7,0.2,14.13325,13.429499999999999,-11.991375,-11.552
0.15,20,10,10,16,8,7,2,0.5333333333333333,0.8,0.7,0.2,14.13325,13.429499999999999,-11.991375,-11.552
0.16,20,10,10,16,8,7,2,0.5333333333333333,0.8,0.7,0.2,14.13325,13.429499999999999,-11.991375,-11.552
0.17,20,10,10,15,8,6,2,0.5714285714285714,0.8,0.6,0.2,13.38325,13.2995,-11.241375,-10.545
0.18,20,10,10,15,8,6,2,0.5714285714285714,0.8,0.6,0.2,12.50825,12.367,-10.366375,-10.545
0.19,20,10,10,15,8,6,2,0.5714285714285714,0.8,0.6,0.2,12.38325,12.367,-10.241375,-10.545
0.2,20,10,10,13,8,4,2,0.6666666666666666,0.8,0.4,0.2,11.88325,12.367,-9.741375,-10.545
0.21,20,10,10,13,8,4,2,0.6666666666666666,0.8,0.4,0.2,11.88325,12.367,-9.741375,-10.545
0.22,20,10,10,12,8,4,2,0.6666666666666666,0.8,0.4,0.2,10.25825,11.6055,-8.116375,-10.186
0.23,20,10,10,12,8,4,2,0.6666666666666666,0.8,0.4,0.2,9.75825,11.6055,-7.616375,-10.186
0.24,20,10,10,12,8,4,2,0.6666666666666666,0.8,0.4,0.2,9.75825,11.6055,-7.616375,-10.186
0.25,20,10,10,12,8,4,2,0.6666666666666666,0.8,0.4,0.2,9.75825,11.6055,-7.616375,-10.186
0.26,20,10,10,12,8,4,2,0.6666666666666666,0.8,0.4,0.2,9.75825,11.6055,-7.616375,-10.186
0.27,20,10,10,12,8,4,2,0.6666666666666666,0.8,0.4,0.2,9.75825,11.6055,-7.616375,-10.186
0.28,20,10,10,12,6,4,4,0.6,0.6,0.4,0.4,12.074166666666668,13.4995,-10.0025,-11.845
0.29,20,10,10,12,6,4,4,0.6,0.6,0.4,0.4,11.9075,13.4995,-9.835833333333333,-11.845
0.3,20,10,10,12,6,4,4,0.6,0.6,0.4,0.4,11.9075,13.4995,-9.835833333333333,-11.845
0.31,20,10,10,12,6,4,4,0.6,0.6,0.4,0.4,11.9075,13.4995,-9.835833333333333,-11.845
0.32,20,10,10,12,6,4,4,0.6,0.6,0.4,0.4,11.9075,13.4995,-9.835833333333333,-11.845
0.33,20,10,10,12,5,4,5,0.5555555555555556,0.5,0.4,0.5,11.402600000000001,12.567,-9.4716,-12.033000000000001
0.34,20,10,10,12,5,4,5,0.5555555555555556,0.5,0.4,0.5,11.2026,12.567,-9.271600000000001,-12.033000000000001
0.35,20,10,10,12,5,4,5,0.5555555555555556,0.5,0.4,0.5,11.2026,12.567,-9.271600000000001,-12.033000000000001
0.36,20,10,10,12,5,4,5,0.5555555555555556,0.5,0.4,0.5,11.2026,12.567,-9.271600000000001,-12.033000000000001
0.37,20,10,10,12,5,4,5,0.5555555555555556,0.5,0.4,0.5,11.2026,12.567,-9.271600000000001,-12.033000000000001
0.38,20,10,10,10,4,3,6,0.5714285714285714,0.4,0.3,0.6,13.961500000000001,13.0845,-12.23125,-12.2885
0.39,20,10,10,10,4,3,6,0.5714285714285714,0.4,0.3,0.6,13.961500000000001,13.0845,-12.23125,-12.2885
0.4,20,10,10,10,4,3,6,0.5714285714285714,0.4,0.3,0.6,13.961500000000001,13.0845,-12.23125,-12.2885
0.41,20,10,10,10,4,3,6,0.5714285714285714,0.4,0.3,0.6,13.711500000000001,12.5845,-11.98125,-11.7885
0.42,20,10,10,10,4,3,6,0.5714285714285714,0.4,0.3,0.6,13.711500000000001,12.5845,-11.98125,-11.7885
0.43,20,10,10,9,4,3,6,0.5714285714285714,0.4,0.3,0.6,13.711500000000001,12.5845,-11.98125,-11.7885
0.44,20,10,10,9,4,3,6,0.5714285714285714,0.4,0.3,0.6,13.711500000000001,12.5845,-11.98125,-11.7885
0.45,20,10,10,9,4,3,6,0.5714285714285714,0.4,0.3,0.6,13.711500000000001,12.5845,-11.98125,-11.7885
0.46,20,10,10,8,4,3,6,0.5714285714285714,0.4,0.3,0.6,13.711500000000001,12.5845,-11.98125,-11.7885
0.47,20,10,10,8,4,3,6,0.5714285714285714,0.4,0.3,0.6,13.711500000000001,12.5845,-11.98125,-11.7885
0.48,20,10,10,7,3,3,7,0.5,0.3,0.3,0.7,13.748,11.567,-11.793666666666667,-11.033000000000001
0.49,20,10,10,7,3,3,7,0.5,0.3,0.3,0.7,13.748,11.567,-11.793666666666667,-11.033000000000001
0.5,20,10,10,7,3,3,7,0.5,0.3,0.3,0.7,13.748,11.567,-11.793666666666667,-11.033000000000001
0.51,20,10,10,7,3,3,7,0.5,0.3,0.3,0.7,13.748,11.567,-11.793666666666667,-11.033000000000001
0.52,20,10,10,7,3,3,7,0.5,0.3,0.3,0.7,13.748,11.567,-11.793666666666667,-11.033000000000001
0.53,20,10,10,6,2,3,8,0.4,0.2,0.3,0.8,15.8,15.8,-13.833,-13.833
0.54,20,10,10,6,2,3,8,0.4,0.2,0.3,0.8,15.8,15.8,-13.833,-13.833
0.55,20,10,10,6,2,3,8,0.4,0.2,0.3,0.8,15.8,15.8,-13.833,-13.833
0.56,20,10,10,6,2,3,8,0.4,0.2,0.3,0.8,15.8,15.8,-13.833,-13.833
0.57,20,10,10,5,2,2,8,0.5,0.2,0.2,0.8,15.8,15.8,-13.833,-13.833
0.58,20,10,10,5,2,2,8,0.5,0.2,0.2,0.8,15.8,15.8,-13.833,-13.833
0.59,20,10,10,5,2,2,8,0.5,0.2,0.2,0.8,15.8,15.8,-13.833,-13.833
0.6,20,10,10,5,2,2,8,0.5,0.2,0.2,0.8,15.8,15.8,-13.833,-13.833
0.61,20,10,10,5,2,2,8,0.5,0.2,0.2,0.8,15.8,15.8,-13.833,-13.833
0.62,20,10,10,5,2,2,8,0.5,0.2,0.2,0.8,15.8,15.8,-13.833,-13.833
0.63,20,10,10,4,2,1,8,0.6666666666666666,0.2,0.1,0.8,15.8,15.8,-13.833,-13.833
0.64,20,10,10,4,2,1,8,0.6666666666666666,0.2,0.1,0.8,15.8,15.8,-13.833,-13.833
0.65,20,10,10,3,2,0,8,1.0,0.2,0.0,0.8,15.8,15.8,-13.833,-13.833
