threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.11,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.12,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.13,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.14,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.15,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.193099999999998,19.787999999999997,-16.178100000000004,-17.295
0.16,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.143099999999997,19.749499999999998,-16.128100000000003,-17.186
0.17,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.0931,19.499499999999998,-16.078100000000003,-16.936
0.18,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.4931,19.499499999999998,-15.478100000000003,-16.936
0.19,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,16.893099999999997,19.0355,-14.8781,-16.783
0.2,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,16.8431,19.0355,-14.828100000000001,-16.783
0.21,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,16.443099999999998,17.372999999999998,-14.4281,-15.5885
0.22,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,16.443099999999998,17.372999999999998,-14.4281,-15.5885
0.23,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,16.2931,17.372999999999998,-14.2781,-15.4885
0.24,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,16.0931,17.372999999999998,-14.078100000000001,-15.4885
0.25,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,16.0431,17.372999999999998,-14.0281,-15.4885
0.26,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,15.793099999999999,17.372999999999998,-13.7781,-15.4885
0.27,20,10,10,19,9,9,1,0.5,0.9,0.9,0.1,16.16711111111111,18.667,-14.03711111111111,-15.933
0.28,20,10,10,19,9,9,1,0.5,0.9,0.9,0.1,15.66711111111111,18.644,-13.53711111111111,-15.933
0.29,20,10,10,19,9,9,1,0.5,0.9,0.9,0.1,15.66711111111111,18.644,-13.53711111111111,-15.933
0.3,20,10,10,19,9,9,1,0.5,0.9,0.9,0.1,13.722666666666665,15.143999999999998,-11.592666666666666,-13.215
0.31,20,10,10,18,8,8,2,0.5,0.8,0.8,0.2,14.60125,16.9055,-12.670625000000001,-14.574
0.32,20,10,10,18,8,8,2,0.5,0.8,0.8,0.2,14.53875,16.9055,-12.608125000000001,-14.574
0.33,20,10,10,17,8,8,2,0.5,0.8,0.8,0.2,14.03875,16.049500000000002,-12.108125000000001,-13.295
0.34,20,10,10,15,6,8,4,0.42857142857142855,0.6,0.8,0.4,13.740499999999999,16.049500000000002,-11.495166666666668,-13.295
0.35,20,10,10,12,6,5,4,0.5454545454545454,0.6,0.5,0.4,13.740499999999999,16.049500000000002,-11.495166666666668,-13.295
0.36,20,10,10,12,6,5,4,0.5454545454545454,0.6,0.5,0.4,13.740499999999999,16.049500000000002,-11.495166666666668,-13.295
0.37,20,10,10,11,6,5,4,0.5454545454545454,0.6,0.5,0.4,13.573833333333333,15.5495,-11.3285,-12.795
0.38,20,10,10,11,6,5,4,0.5454545454545454,0.6,0.5,0.4,13.573833333333333,15.5495,-11.3285,-12.795
0.39,20,10,10,10,5,5,5,0.5,0.5,0.5,0.5,16.2686,17.167,-13.994200000000001,-14.433
0.4,20,10,10,10,5,5,5,0.5,0.5,0.5,0.5,13.668600000000001,13.931999999999999,-11.3942,-11.157
0.41,20,10,10,10,5,5,5,0.5,0.5,0.5,0.5,13.168599999999998,13.931999999999999,-10.8942,-11.157
0.42,20,10,10,8,5,3,5,0.625,0.5,0.3,0.5,11.6686,10.533000000000001,-9.3942,-8.215
0.43,20,10,10,8,5,3,5,0.625,0.5,0.3,0.5,11.6686,10.533000000000001,-9.3942,-8.215
0.44,20,10,10,8,5,3,5,0.625,0.5,0.3,0.5,11.0686,10.533000000000001,-8.7942,-8.215
0.45,20,10,10,7,5,2,5,0.7142857142857143,0.5,0.2,0.5,10.968599999999999,10.533000000000001,-8.694199999999999,-7.715
0.46,20,10,10,7,5,2,5,0.7142857142857143,0.5,0.2,0.5,10.868599999999999,10.533000000000001,-8.594199999999999,-7.215
0.47,20,10,10,6,4,2,6,0.6666666666666666,0.4,0.2,0.6,10.10275,9.8385,-7.9535,-7.1739999999999995
0.48,20,10,10,6,4,2,6,0.6666666666666666,0.4,0.2,0.6,9.60275,8.8385,-7.4535,-6.1739999999999995
0.49,20,10,10,6,4,2,6,0.6666666666666666,0.4,0.2,0.6,9.35275,8.3385,-7.2035,-5.6739999999999995
0.5,20,10,10,6,4,2,6,0.6666666666666666,0.4,0.2,0.6,9.35275,8.3385,-7.2035,-5.6739999999999995
0.51,20,10,10,6,4,2,6,0.6666666666666666,0.4,0.2,0.6,9.35275,8.3385,-7.2035,-5.6739999999999995
0.52,20,10,10,6,4,2,6,0.6666666666666666,0.4,0.2,0.6,9.22775,8.0885,-7.0785,-5.4239999999999995
0.53,20,10,10,5,3,2,7,0.6,0.3,0.2,0.7,8.959333333333333,6.143999999999998,-7.227,-4.215
0.54,20,10,10,5,3,2,7,0.6,0.3,0.2,0.7,7.126,1.1670000000000016,-5.393666666666667,1.2850000000000001
0.55,20,10,10,5,2,2,8,0.5,0.2,0.2,0.8,10.1055,10.1055,-8.874,-8.874
0.56,20,10,10,4,2,1,8,0.6666666666666666,0.2,0.1,0.8,10.1055,10.1055,-8.874,-8.874
0.57,20,10,10,4,2,1,8,0.6666666666666666,0.2,0.1,0.8,10.1055,10.1055,-8.874,-8.874
0.58,20,10,10,4,2,1,8,0.6666666666666666,0.2,0.1,0.8,10.1055,10.1055,-8.874,-8.874
0.59,20,10,10,4,2,1,8,0.6666666666666666,0.2,0.1,0.8,9.8555,9.8555,-8.624,-8.624
0.6,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.567,19.567,-19.033,-19.033
0.61,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.567,19.567,-19.033,-19.033
0.62,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.567,19.567,-19.033,-19.033
0.63,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,3.567,3.567,-3.0330000000000013,-3.0330000000000013
0.64,20,10,10,2,0,1,10,0.0,0.0,0.1,1.0,,,,
0.65,20,10,10,2,0,1,10,0.0,0.0,0.1,1.0,,,,
0.66,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.67,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.68,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.69,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.7,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.71,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.72,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.73,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.74,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.75,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.76,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.77,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.78,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.79,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.8,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.81,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.82,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.83,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.84,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.85,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.86,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.87,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.88,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.89,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.9,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.91,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.92,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.93,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.94,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.95,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.96,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.97,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.98,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.99,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
