threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.11,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.12,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.13,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.14,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.15,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.693099999999998,19.287999999999997,-15.678100000000004,-16.795
0.16,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.5431,19.249499999999998,-15.528100000000004,-16.686
0.17,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.443099999999998,18.999499999999998,-15.428100000000004,-16.436
0.18,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,16.143099999999997,17.0355,-14.1281,-15.29
0.19,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,15.993099999999998,16.872999999999998,-13.978100000000001,-15.0885
0.2,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,15.943099999999998,16.872999999999998,-13.9281,-15.0885
0.21,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,15.843099999999998,16.872999999999998,-13.828100000000001,-15.0885
0.22,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,15.743099999999998,16.872999999999998,-13.728100000000001,-15.0885
0.23,20,10,10,19,10,9,0,0.5263157894736842,1.0,0.9,0.0,15.593099999999998,16.872999999999998,-13.578100000000001,-14.9885
0.24,20,10,10,19,10,9,0,0.5263157894736842,1.0,0.9,0.0,15.393099999999999,16.872999999999998,-13.3781,-14.9885
0.25,20,10,10,18,10,8,0,0.5555555555555556,1.0,0.8,0.0,15.343099999999998,16.872999999999998,-13.328100000000001,-14.9885
0.26,20,10,10,18,9,8,1,0.5294117647058824,0.9,0.8,0.1,15.722666666666665,18.644,-13.592666666666666,-15.933
0.27,20,10,10,18,9,8,1,0.5294117647058824,0.9,0.8,0.1,15.222666666666665,18.167,-13.092666666666666,-15.433
0.28,20,10,10,18,9,8,1,0.5294117647058824,0.9,0.8,0.1,14.16711111111111,15.102,-12.03711111111111,-14.044
0.29,20,10,10,16,7,8,3,0.4666666666666667,0.7,0.8,0.3,12.86357142857143,13.931999999999999,-10.787857142857144,-11.157
0.3,20,10,10,16,6,8,4,0.42857142857142855,0.6,0.8,0.4,13.573833333333333,15.7995,-11.3285,-13.045
0.31,20,10,10,16,6,8,4,0.42857142857142855,0.6,0.8,0.4,13.573833333333333,15.7995,-11.3285,-13.045
0.32,20,10,10,15,5,8,5,0.38461538461538464,0.5,0.8,0.5,16.2686,18.167,-13.994200000000001,-15.433
0.33,20,10,10,14,5,7,5,0.4166666666666667,0.5,0.7,0.5,15.9686,17.667,-13.6942,-14.933
0.34,20,10,10,13,5,6,5,0.45454545454545453,0.5,0.6,0.5,15.9686,17.667,-13.6942,-14.933
0.35,20,10,10,12,5,5,5,0.5,0.5,0.5,0.5,15.9686,17.667,-13.6942,-14.933
0.36,20,10,10,12,5,5,5,0.5,0.5,0.5,0.5,15.9686,17.667,-13.6942,-14.933
0.37,20,10,10,11,5,5,5,0.5,0.5,0.5,0.5,15.768600000000001,16.667,-13.494200000000001,-13.933
0.38,20,10,10,11,5,5,5,0.5,0.5,0.5,0.5,12.668600000000001,13.431999999999999,-10.3942,-10.657
0.39,20,10,10,10,5,5,5,0.5,0.5,0.5,0.5,12.468599999999999,13.431999999999999,-10.194199999999999,-10.657
0.4,20,10,10,9,5,4,5,0.5555555555555556,0.5,0.4,0.5,12.468599999999999,13.431999999999999,-10.194199999999999,-10.657
0.41,20,10,10,8,5,3,5,0.625,0.5,0.3,0.5,12.0686,13.431999999999999,-9.7942,-10.657
0.42,20,10,10,7,4,3,6,0.5714285714285714,0.4,0.3,0.6,9.85275,9.8385,-7.7035,-7.1739999999999995
