threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.11,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.12,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.13,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.14,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.15,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.16,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.17,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.18,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.19,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.2,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.21,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.22,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.193099999999998,19.787999999999997,-16.178100000000004,-17.295
0.23,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.9931,19.787999999999997,-15.978100000000003,-17.295
0.24,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,16.9931,19.367,-14.978100000000001,-16.533
0.25,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,16.943099999999998,19.117,-14.9281,-16.283
0.26,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,16.8431,19.117,-14.828100000000001,-16.283
0.27,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,16.7431,18.966,-14.728100000000001,-16.283
0.28,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,16.5931,18.966,-14.578100000000001,-16.283
0.29,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,16.5431,18.9055,-14.5281,-16.283
0.3,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,15.293099999999999,17.264499999999998,-13.2781,-15.5885
0.31,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,15.293099999999999,17.264499999999998,-13.2781,-15.5885
0.32,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,15.093099999999998,17.264499999999998,-13.078100000000001,-15.5885
0.33,20,10,10,19,10,9,0,0.5263157894736842,1.0,0.9,0.0,14.043099999999999,15.2645,-12.0281,-14.2455
0.34,20,10,10,17,8,8,2,0.5,0.8,0.8,0.2,12.60125,14.267,-10.670625000000001,-12.3505
0.35,20,10,10,16,7,8,3,0.4666666666666667,0.7,0.8,0.3,12.006428571428572,13.602,-9.930714285714286,-11.157
0.36,20,10,10,16,7,8,3,0.4666666666666667,0.7,0.8,0.3,11.577857142857143,11.643999999999998,-9.502142857142857,-9.715
0.37,20,10,10,16,7,8,3,0.4666666666666667,0.7,0.8,0.3,11.577857142857143,11.643999999999998,-9.502142857142857,-9.715
0.38,20,10,10,15,7,7,3,0.5,0.7,0.7,0.3,11.006428571428572,10.643999999999998,-8.930714285714286,-9.544
0.39,20,10,10,14,6,6,4,0.5,0.6,0.6,0.4,12.479666666666667,12.287999999999998,-10.513666666666666,-10.3505
0.4,20,10,10,14,6,6,4,0.5,0.6,0.6,0.4,12.479666666666667,12.287999999999998,-10.513666666666666,-10.3505
0.41,20,10,10,13,5,6,5,0.45454545454545453,0.5,0.6,0.5,12.189200000000001,10.643999999999998,-10.385,-9.544
0.42,20,10,10,13,5,6,5,0.45454545454545453,0.5,0.6,0.5,12.189200000000001,10.643999999999998,-10.385,-9.544
0.43,20,10,10,12,5,6,5,0.45454545454545453,0.5,0.6,0.5,12.189200000000001,10.643999999999998,-10.385,-9.544
0.44,20,10,10,10,4,6,6,0.4,0.4,0.6,0.6,15.211500000000001,15.1055,-13.48125,-13.0885
0.45,20,10,10,8,3,5,7,0.375,0.3,0.5,0.7,16.748,19.567,-14.793666666666667,-16.633
0.46,20,10,10,8,3,5,7,0.375,0.3,0.5,0.7,16.748,19.567,-14.793666666666667,-16.633
0.47,20,10,10,8,3,5,7,0.375,0.3,0.5,0.7,16.581333333333333,19.567,-14.627,-16.633
0.48,20,10,10,8,3,5,7,0.375,0.3,0.5,0.7,16.581333333333333,19.567,-14.627,-16.633
0.49,20,10,10,7,2,5,8,0.2857142857142857,0.2,0.5,0.8,14.8555,14.8555,-13.624,-13.624
0.5,20,10,10,5,2,3,8,0.4,0.2,0.3,0.8,14.6055,14.6055,-13.374,-13.374
0.51,20,10,10,4,2,2,8,0.5,0.2,0.2,0.8,14.6055,14.6055,-13.374,-13.374
0.52,20,10,10,4,2,2,8,0.5,0.2,0.2,0.8,12.1055,12.1055,-10.874,-10.874
0.53,20,10,10,4,2,2,8,0.5,0.2,0.2,0.8,10.6055,10.6055,-9.374,-9.374
0.54,20,10,10,3,2,1,8,0.6666666666666666,0.2,0.1,0.8,10.6055,10.6055,-9.374,-9.374
0.55,20,10,10,2,2,0,8,1.0,0.2,0.0,0.8,10.3555,10.3555,-9.124,-9.124
0.56,20,10,10,2,2,0,8,1.0,0.2,0.0,0.8,10.3555,10.3555,-9.124,-9.124
0.57,20,10,10,2,2,0,8,1.0,0.2,0.0,0.8,10.1055,10.1055,-8.874,-8.874
0.58,20,10,10,2,2,0,8,1.0,0.2,0.0,0.8,10.1055,10.1055,-8.874,-8.874
0.59,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.6,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.61,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.62,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.63,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.64,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.65,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.66,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.67,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.68,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.69,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.7,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.71,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.72,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.73,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.74,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.75,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.76,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.77,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.78,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.79,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.8,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.81,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.82,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.83,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.84,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.85,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.86,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.87,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.88,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.89,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.9,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.91,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.92,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.93,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.94,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.95,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.96,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.97,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.98,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.99,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
