threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.01,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.02,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.03,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.04,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.05,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.06,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.07,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.08,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.09,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.1,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.11,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.12,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.13,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.14,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.15,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.16,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.17,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.18,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.19,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.2,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.21,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.643099999999997,19.3385,-15.628100000000003,-17.045
0.22,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.5431,19.287999999999997,-15.528100000000004,-16.795
0.23,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.0931,19.287999999999997,-15.078100000000003,-16.795
0.24,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,16.393099999999997,18.867,-14.3781,-16.033
0.25,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,16.3431,18.617,-14.328100000000001,-15.783
0.26,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,16.2431,18.466,-14.228100000000001,-15.783
0.27,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,16.143099999999997,18.466,-14.1281,-15.783
0.28,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,15.693099999999998,16.466,-13.6781,-15.0885
0.29,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,14.593099999999998,15.6835,-12.578100000000001,-14.697000000000001
0.3,20,10,10,19,10,9,0,0.5263157894736842,1.0,0.9,0.0,14.243099999999998,15.6835,-12.228100000000001,-14.697000000000001
0.31,20,10,10,19,10,9,0,0.5263157894736842,1.0,0.9,0.0,13.793099999999999,14.7645,-11.7781,-13.7455
0.32,20,10,10,18,10,8,0,0.5555555555555556,1.0,0.8,0.0,13.0431,14.7645,-11.0281,-13.7455
0.33,20,10,10,17,7,8,3,0.4666666666666667,0.7,0.8,0.3,11.577857142857143,13.102,-9.502142857142857,-10.657
0.34,20,10,10,16,7,8,3,0.4666666666666667,0.7,0.8,0.3,11.506428571428572,13.102,-9.430714285714286,-10.657
0.35,20,10,10,16,7,8,3,0.4666666666666667,0.7,0.8,0.3,11.077857142857143,13.102,-9.002142857142857,-10.657
0.36,20,10,10,16,6,8,4,0.42857142857142855,0.6,0.8,0.4,12.313,12.287999999999998,-10.347,-9.936
0.37,20,10,10,14,5,7,5,0.4166666666666667,0.5,0.7,0.5,11.8892,10.143999999999998,-10.084999999999999,-9.044
0.38,20,10,10,13,5,6,5,0.45454545454545453,0.5,0.6,0.5,11.8892,10.143999999999998,-10.084999999999999,-9.044
