threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,20,10,10,4,2,1,8,0.6666666666666666,0.2,0.1,0.8,9.9825,9.9825,-6.895,-6.895
0.11,20,10,10,4,2,1,8,0.6666666666666666,0.2,0.1,0.8,9.9825,9.9825,-6.895,-6.895
0.12,20,10,10,4,2,1,8,0.6666666666666666,0.2,0.1,0.8,9.9825,9.9825,-6.895,-6.895
0.13,20,10,10,3,2,1,8,0.6666666666666666,0.2,0.1,0.8,9.9825,9.9825,-6.895,-6.895
0.14,20,10,10,3,2,1,8,0.6666666666666666,0.2,0.1,0.8,9.9825,9.9825,-6.895,-6.895
0.15,20,10,10,3,2,1,8,0.6666666666666666,0.2,0.1,0.8,9.9825,9.9825,-6.895,-6.895
0.16,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.17,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.18,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.19,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.2,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.21,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.22,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.23,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.24,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.25,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.26,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.27,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.28,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.29,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.3,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.31,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.32,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.33,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.34,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.35,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.36,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.37,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.38,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.39,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.4,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.41,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.42,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.43,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.44,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.45,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.46,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.47,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.48,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.49,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.5,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.51,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.52,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.53,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.54,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.55,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.56,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.57,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.58,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.59,20,10,10,2,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.6,20,10,10,2,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.61,20,10,10,2,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.62,20,10,10,2,1,1,9,0.5,0.1,0.1,0.9,19.533,19.533,-16.133,-16.133
0.63,20,10,10,1,1,0,9,1.0,0.1,0.0,0.9,19.533,19.533,-16.133,-16.133
0.64,20,10,10,1,1,0,9,1.0,0.1,0.0,0.9,19.533,19.533,-16.133,-16.133
0.65,20,10,10,1,1,0,9,1.0,0.1,0.0,0.9,19.533,19.533,-16.133,-16.133
0.66,20,10,10,1,1,0,9,1.0,0.1,0.0,0.9,19.533,19.533,-16.133,-16.133
0.67,20,10,10,1,1,0,9,1.0,0.1,0.0,0.9,19.533,19.533,-16.133,-16.133
0.68,20,10,10,1,1,0,9,1.0,0.1,0.0,0.9,19.533,19.533,-16.133,-16.133
0.69,20,10,10,1,1,0,9,1.0,0.1,0.0,0.9,19.533,19.533,-16.133,-16.133
0.7,20,10,10,1,1,0,9,1.0,0.1,0.0,0.9,19.533,19.533,-16.133,-16.133
0.71,20,10,10,1,1,0,9,1.0,0.1,0.0,0.9,19.533,19.533,-16.133,-16.133
0.72,20,10,10,1,1,0,9,1.0,0.1,0.0,0.9,19.533,19.533,-16.133,-16.133
0.73,20,10,10,1,1,0,9,1.0,0.1,0.0,0.9,19.533,19.533,-16.133,-16.133
0.74,20,10,10,1,1,0,9,1.0,0.1,0.0,0.9,19.533,19.533,-16.133,-16.133
0.75,20,10,10,1,1,0,9,1.0,0.1,0.0,0.9,19.533,19.533,-16.133,-16.133
0.76,20,10,10,1,1,0,9,1.0,0.1,0.0,0.9,19.533,19.533,-16.133,-16.133
0.77,20,10,10,1,1,0,9,1.0,0.1,0.0,0.9,19.533,19.533,-16.133,-16.133
0.78,20,10,10,1,1,0,9,1.0,0.1,0.0,0.9,19.533,19.533,-16.133,-16.133
0.79,20,10,10,1,1,0,9,1.0,0.1,0.0,0.9,19.533,19.533,-16.133,-16.133
0.8,20,10,10,1,1,0,9,1.0,0.1,0.0,0.9,19.033,19.033,-15.633,-15.633
0.81,20,10,10,1,1,0,9,1.0,0.1,0.0,0.9,18.533,18.533,-15.133,-15.133
0.82,20,10,10,1,1,0,9,1.0,0.1,0.0,0.9,18.033,18.033,-14.633,-14.633
0.83,20,10,10,1,1,0,9,1.0,0.1,0.0,0.9,18.033,18.033,-14.633,-14.633
