threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.01,20,10,10,17,8,8,2,0.5,0.8,0.8,0.2,10.309000000000001,10.123,-8.370249999999999,-8.6295
0.02,20,10,10,13,6,7,4,0.46153846153846156,0.6,0.7,0.4,11.545,12.035499999999999,-9.486333333333333,-10.581
0.03,20,10,10,13,5,7,5,0.4166666666666667,0.5,0.7,0.5,11.520599999999998,12.927,-9.597,-11.947
0.04,20,10,10,12,5,6,5,0.45454545454545453,0.5,0.6,0.5,11.520599999999998,12.927,-9.597,-11.947
0.05,20,10,10,12,5,6,5,0.45454545454545453,0.5,0.6,0.5,11.520599999999998,12.927,-9.597,-11.947
0.06,20,10,10,8,4,4,6,0.5,0.4,0.4,0.6,14.239749999999999,16.247,-12.317499999999999,-14.29
0.07,20,10,10,7,3,4,7,0.42857142857142855,0.3,0.4,0.7,13.510666666666665,19.567,-11.274333333333333,-16.633
0.08,20,10,10,6,3,3,7,0.5,0.3,0.3,0.7,13.510666666666665,19.567,-11.274333333333333,-16.633
0.09,20,10,10,6,3,3,7,0.5,0.3,0.3,0.7,13.510666666666665,19.567,-11.274333333333333,-16.633
0.1,20,10,10,6,3,3,7,0.5,0.3,0.3,0.7,13.510666666666665,19.567,-11.274333333333333,-16.633
0.11,20,10,10,5,3,2,7,0.6,0.3,0.2,0.7,13.510666666666665,19.567,-11.274333333333333,-16.633
0.12,20,10,10,5,3,2,7,0.6,0.3,0.2,0.7,13.510666666666665,19.567,-11.274333333333333,-16.633
0.13,20,10,10,4,3,1,7,0.75,0.3,0.1,0.7,10.177333333333333,9.567,-7.941,-9.033000000000001
0.14,20,10,10,4,3,1,7,0.75,0.3,0.1,0.7,10.177333333333333,9.567,-7.941,-9.033000000000001
0.15,20,10,10,4,3,1,7,0.75,0.3,0.1,0.7,10.177333333333333,9.567,-7.941,-9.033000000000001
0.16,20,10,10,4,3,1,7,0.75,0.3,0.1,0.7,10.010666666666667,9.567,-7.774333333333334,-9.033000000000001
0.17,20,10,10,4,3,1,7,0.75,0.3,0.1,0.7,10.010666666666667,9.567,-7.774333333333334,-9.033000000000001
0.18,20,10,10,4,3,1,7,0.75,0.3,0.1,0.7,10.010666666666667,9.567,-7.774333333333334,-9.033000000000001
0.19,20,10,10,4,3,1,7,0.75,0.3,0.1,0.7,10.010666666666667,9.567,-7.774333333333334,-9.033000000000001
