threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.11,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.12,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.13,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.14,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.15,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.16,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.17,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.18,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.19,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.2,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.21,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.22,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.23,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.24,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.25,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.26,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.27,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.28,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.29,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.3,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.31,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.32,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.2431,19.8385,-16.228100000000005,-17.545
0.33,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,18.143099999999997,19.6055,-16.128100000000003,-17.045
0.34,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.9931,19.3555,-15.978100000000003,-16.924
0.35,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.943099999999998,19.3555,-15.928100000000004,-16.924
0.36,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.393099999999997,19.0885,-15.378100000000003,-16.424
0.37,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,16.8431,17.067500000000003,-14.828100000000001,-14.8385
0.38,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,16.643099999999997,16.567500000000003,-14.6281,-14.3385
0.39,20,10,10,19,10,9,0,0.5263157894736842,1.0,0.9,0.0,15.843099999999998,15.017,-13.828100000000001,-13.1005
0.4,20,10,10,19,10,9,0,0.5263157894736842,1.0,0.9,0.0,14.743099999999998,14.767,-12.728100000000001,-12.8505
0.41,20,10,10,19,10,9,0,0.5263157894736842,1.0,0.9,0.0,14.243099999999998,14.517,-12.228100000000001,-12.6005
0.42,20,10,10,19,10,9,0,0.5263157894736842,1.0,0.9,0.0,12.7431,13.929499999999999,-10.728100000000001,-12.052
0.43,20,10,10,16,8,8,2,0.5,0.8,0.8,0.2,10.891625,12.037999999999998,-8.91225,-9.802
0.44,20,10,10,14,8,6,2,0.5714285714285714,0.8,0.6,0.2,10.329125,11.123,-8.34975,-9.6295
0.45,20,10,10,13,8,5,2,0.6153846153846154,0.8,0.5,0.2,8.704125,8.535499999999999,-6.72475,-7.0809999999999995
0.46,20,10,10,11,6,5,4,0.5454545454545454,0.6,0.5,0.4,8.835333333333335,10.3555,-6.980333333333334,-9.124
0.47,20,10,10,9,4,5,6,0.4444444444444444,0.4,0.5,0.6,9.2445,10.1055,-7.42025,-8.874
0.48,20,10,10,7,3,4,7,0.42857142857142855,0.3,0.4,0.7,4.2780000000000005,1.6670000000000016,-2.488666666666667,1.0670000000000002
0.49,20,10,10,7,2,4,8,0.3333333333333333,0.2,0.4,0.8,5.3335,5.3335,-4.016500000000001,-4.016500000000001
0.5,20,10,10,5,2,2,8,0.5,0.2,0.2,0.8,5.3335,5.3335,-4.016500000000001,-4.016500000000001
0.51,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,7.067,7.067,-6.533000000000001,-6.533000000000001
0.52,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,7.067,7.067,-6.533000000000001,-6.533000000000001
0.53,20,10,10,3,1,1,9,0.5,0.1,0.1,0.9,6.067,6.067,-5.533000000000001,-5.533000000000001
0.54,20,10,10,2,0,1,10,0.0,0.0,0.1,1.0,,,,
0.55,20,10,10,2,0,1,10,0.0,0.0,0.1,1.0,,,,
0.56,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.57,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.58,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.59,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.6,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.61,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.62,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.63,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.64,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.65,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.66,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.67,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.68,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.69,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.7,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.71,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.72,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.73,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.74,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.75,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.76,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.77,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.78,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.79,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.8,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.81,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.82,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.83,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.84,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.85,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.86,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.87,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.88,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.89,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.9,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.91,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.92,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.93,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.94,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.95,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.96,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.97,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.98,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
0.99,20,10,10,0,0,0,10,,0.0,0.0,1.0,,,,
