threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.11,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.12,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.13,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.14,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.15,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.16,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.17,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.18,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.19,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.2,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.21,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.22,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.23,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.24,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.25,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.26,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.27,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.28,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.29,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.3,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.7431,19.3385,-15.728100000000003,-17.045
0.31,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.643099999999997,19.1055,-15.628100000000003,-16.545
0.32,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.643099999999997,19.1055,-15.628100000000003,-16.545
0.33,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.643099999999997,19.1055,-15.628100000000003,-16.545
0.34,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.4931,18.8555,-15.478100000000003,-16.424
0.35,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,17.0431,18.8555,-15.028100000000004,-16.424
0.36,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,16.3431,16.567500000000003,-14.328100000000001,-14.3385
0.37,20,10,10,20,10,10,0,0.5,1.0,1.0,0.0,16.3431,16.567500000000003,-14.328100000000001,-14.3385
0.38,20,10,10,19,10,9,0,0.5263157894736842,1.0,0.9,0.0,15.493099999999998,14.517,-13.478100000000001,-12.6005
0.39,20,10,10,19,10,9,0,0.5263157894736842,1.0,0.9,0.0,14.743099999999998,14.4995,-12.728100000000001,-12.6005
0.4,20,10,10,19,10,9,0,0.5263157894736842,1.0,0.9,0.0,13.593100000000002,14.267,-11.578100000000001,-12.3505
0.41,20,10,10,19,10,9,0,0.5263157894736842,1.0,0.9,0.0,11.5931,11.537999999999998,-9.5781,-9.302
0.42,20,10,10,16,9,7,1,0.5625,0.9,0.7,0.1,11.599777777777778,13.431999999999999,-9.738666666666667,-10.657
0.43,20,10,10,12,7,5,3,0.5833333333333334,0.7,0.5,0.3,10.777,11.602,-9.047,-10.544
