threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,20,10,10,17,8,9,2,0.47058823529411764,0.8,0.9,0.2,17.017125,19.6055,-15.226500000000001,-17.545
0.11,20,10,10,17,8,9,2,0.47058823529411764,0.8,0.9,0.2,17.017125,19.6055,-15.226500000000001,-17.545
0.12,20,10,10,17,8,9,2,0.47058823529411764,0.8,0.9,0.2,17.017125,19.6055,-15.226500000000001,-17.545
0.13,20,10,10,17,8,9,2,0.47058823529411764,0.8,0.9,0.2,17.017125,19.6055,-15.226500000000001,-17.545
0.14,20,10,10,17,8,9,2,0.47058823529411764,0.8,0.9,0.2,16.892125,19.497,-15.101500000000001,-17.545
0.15,20,10,10,17,8,9,2,0.47058823529411764,0.8,0.9,0.2,16.892125,19.497,-15.101500000000001,-17.545
0.16,20,10,10,17,8,9,2,0.47058823529411764,0.8,0.9,0.2,16.892125,19.497,-15.101500000000001,-17.545
0.17,20,10,10,15,7,8,3,0.4666666666666667,0.7,0.8,0.3,17.696,19.567,-15.780285714285714,-17.657
0.18,20,10,10,15,7,8,3,0.4666666666666667,0.7,0.8,0.3,17.696,19.567,-15.780285714285714,-17.657
0.19,20,10,10,15,7,8,3,0.4666666666666667,0.7,0.8,0.3,16.26742857142857,19.567,-14.351714285714285,-17.433
0.2,20,10,10,15,7,8,3,0.4666666666666667,0.7,0.8,0.3,16.26742857142857,19.567,-14.351714285714285,-17.433
0.21,20,10,10,15,7,8,3,0.4666666666666667,0.7,0.8,0.3,16.26742857142857,19.567,-14.351714285714285,-17.433
0.22,20,10,10,15,6,8,4,0.42857142857142855,0.6,0.8,0.4,17.24083333333333,19.6055,-15.169166666666667,-17.545
0.23,20,10,10,15,6,8,4,0.42857142857142855,0.6,0.8,0.4,17.24083333333333,19.6055,-15.169166666666667,-17.545
0.24,20,10,10,15,6,8,4,0.42857142857142855,0.6,0.8,0.4,17.24083333333333,19.6055,-15.169166666666667,-17.545
0.25,20,10,10,14,6,7,4,0.46153846153846156,0.6,0.7,0.4,17.24083333333333,19.6055,-15.169166666666667,-17.545
