threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,20,10,10,19,9,10,1,0.47368421052631576,0.9,1.0,0.1,19.036777777777775,20.033,-17.031222222222226,-17.657
0.11,20,10,10,18,9,9,1,0.5,0.9,0.9,0.1,19.036777777777775,20.033,-17.031222222222226,-17.657
0.12,20,10,10,18,9,9,1,0.5,0.9,0.9,0.1,19.036777777777775,20.033,-17.031222222222226,-17.657
0.13,20,10,10,18,9,9,1,0.5,0.9,0.9,0.1,19.036777777777775,20.033,-17.031222222222226,-17.657
0.14,20,10,10,18,9,9,1,0.5,0.9,0.9,0.1,18.703444444444443,19.644,-16.697888888888894,-17.657
0.15,20,10,10,18,9,9,1,0.5,0.9,0.9,0.1,18.703444444444443,19.644,-16.697888888888894,-17.657
0.16,20,10,10,18,9,9,1,0.5,0.9,0.9,0.1,18.703444444444443,19.644,-16.697888888888894,-17.657
0.17,20,10,10,18,9,9,1,0.5,0.9,0.9,0.1,17.925666666666665,19.567,-15.920111111111115,-17.433
0.18,20,10,10,18,9,9,1,0.5,0.9,0.9,0.1,17.925666666666665,19.567,-15.920111111111115,-17.433
0.19,20,10,10,18,9,9,1,0.5,0.9,0.9,0.1,17.703444444444443,19.567,-15.69788888888889,-17.433
0.2,20,10,10,18,9,9,1,0.5,0.9,0.9,0.1,17.592333333333332,19.567,-15.586777777777778,-17.433
0.21,20,10,10,18,9,9,1,0.5,0.9,0.9,0.1,17.48122222222222,19.567,-15.475666666666667,-17.433
0.22,20,10,10,18,9,9,1,0.5,0.9,0.9,0.1,17.036777777777775,19.567,-15.031222222222222,-17.433
0.23,20,10,10,18,9,9,1,0.5,0.9,0.9,0.1,17.036777777777775,19.567,-15.031222222222222,-17.433
0.24,20,10,10,18,9,9,1,0.5,0.9,0.9,0.1,17.036777777777775,19.567,-15.031222222222222,-17.433
0.25,20,10,10,18,9,9,1,0.5,0.9,0.9,0.1,17.036777777777775,19.567,-15.031222222222222,-17.433
0.26,20,10,10,18,9,9,1,0.5,0.9,0.9,0.1,17.036777777777775,19.567,-15.031222222222222,-17.433
0.27,20,10,10,18,9,9,1,0.5,0.9,0.9,0.1,17.036777777777775,19.567,-15.031222222222222,-17.433
0.28,20,10,10,18,9,9,1,0.5,0.9,0.9,0.1,17.036777777777775,19.567,-15.031222222222222,-17.433
0.29,20,10,10,18,9,9,1,0.5,0.9,0.9,0.1,17.036777777777775,19.567,-15.031222222222222,-17.433
0.3,20,10,10,18,9,9,1,0.5,0.9,0.9,0.1,17.036777777777775,19.567,-15.031222222222222,-17.433
0.31,20,10,10,17,9,8,1,0.5294117647058824,0.9,0.8,0.1,17.036777777777775,19.567,-15.031222222222222,-17.433
0.32,20,10,10,17,9,8,1,0.5294117647058824,0.9,0.8,0.1,17.036777777777775,19.567,-15.031222222222222,-17.433
0.33,20,10,10,17,9,8,1,0.5294117647058824,0.9,0.8,0.1,17.036777777777775,19.567,-15.031222222222222,-17.433
0.34,20,10,10,17,9,8,1,0.5294117647058824,0.9,0.8,0.1,16.925666666666665,19.567,-14.920111111111112,-17.433
0.35,20,10,10,17,9,8,1,0.5294117647058824,0.9,0.8,0.1,16.925666666666665,19.567,-14.920111111111112,-17.433
0.36,20,10,10,17,9,8,1,0.5294117647058824,0.9,0.8,0.1,16.925666666666665,19.567,-14.920111111111112,-17.433
0.37,20,10,10,17,9,8,1,0.5294117647058824,0.9,0.8,0.1,16.925666666666665,19.567,-14.920111111111112,-17.433
0.38,20,10,10,17,9,8,1,0.5294117647058824,0.9,0.8,0.1,16.925666666666665,19.567,-14.920111111111112,-17.433
0.39,20,10,10,17,9,8,1,0.5294117647058824,0.9,0.8,0.1,16.259,19.567,-14.253444444444446,-17.433
0.4,20,10,10,17,9,8,1,0.5294117647058824,0.9,0.8,0.1,16.036777777777775,18.644,-14.031222222222222,-16.715
0.41,20,10,10,17,9,8,1,0.5294117647058824,0.9,0.8,0.1,16.036777777777775,18.644,-14.031222222222222,-16.715
0.42,20,10,10,17,9,8,1,0.5294117647058824,0.9,0.8,0.1,15.925666666666665,18.644,-13.920111111111112,-16.715
0.43,20,10,10,17,9,8,1,0.5294117647058824,0.9,0.8,0.1,15.925666666666665,18.644,-13.920111111111112,-16.715
0.44,20,10,10,17,9,8,1,0.5294117647058824,0.9,0.8,0.1,15.592333333333332,18.644,-13.586777777777778,-16.715
0.45,20,10,10,17,9,8,1,0.5294117647058824,0.9,0.8,0.1,15.592333333333332,18.644,-13.586777777777778,-16.715
0.46,20,10,10,17,9,8,1,0.5294117647058824,0.9,0.8,0.1,15.592333333333332,18.644,-13.586777777777778,-16.715
0.47,20,10,10,17,9,8,1,0.5294117647058824,0.9,0.8,0.1,15.592333333333332,18.644,-13.586777777777778,-16.715
0.48,20,10,10,16,9,7,1,0.5625,0.9,0.7,0.1,15.592333333333332,18.644,-13.586777777777778,-16.715
0.49,20,10,10,15,8,7,2,0.5333333333333333,0.8,0.7,0.2,16.50825,19.1055,-14.366375,-17.073999999999998
0.5,20,10,10,15,8,7,2,0.5333333333333333,0.8,0.7,0.2,16.50825,19.1055,-14.366375,-17.073999999999998
0.51,20,10,10,15,8,7,2,0.5333333333333333,0.8,0.7,0.2,16.00825,17.5845,-13.866375,-15.9885
0.52,20,10,10,15,8,7,2,0.5333333333333333,0.8,0.7,0.2,16.00825,17.5845,-13.866375,-15.9885
0.53,20,10,10,15,7,7,3,0.5,0.7,0.7,0.3,17.410285714285717,19.427,-15.49457142857143,-17.433
0.54,20,10,10,15,7,7,3,0.5,0.7,0.7,0.3,17.410285714285717,19.427,-15.49457142857143,-17.433
0.55,20,10,10,15,7,7,3,0.5,0.7,0.7,0.3,17.410285714285717,19.427,-15.49457142857143,-17.433
0.56,20,10,10,15,7,7,3,0.5,0.7,0.7,0.3,17.410285714285717,19.427,-15.49457142857143,-17.433
0.57,20,10,10,14,7,7,3,0.5,0.7,0.7,0.3,16.981714285714286,16.427,-15.066,-15.447
0.58,20,10,10,14,7,7,3,0.5,0.7,0.7,0.3,16.981714285714286,16.427,-15.066,-15.447
